,createdAt,amount,shoeSize
0,2017-05-28 14:39:20,145,9.0
1,2017-05-27 20:54:45,130,10.0
2,2017-05-27 15:57:47,135,13.0
3,2017-05-27 15:22:31,175,12.0
4,2017-05-27 15:12:53,127,12.0
5,2017-05-27 14:04:52,185,11.5
6,2017-05-27 12:24:27,184,7.5
7,2017-05-27 03:11:45,125,10.5
8,2017-05-26 22:52:38,125,8.5
9,2017-05-26 22:39:44,191,11.5
10,2017-05-26 20:58:45,125,12.0
11,2017-05-26 17:16:02,135,10.0
12,2017-05-26 14:04:03,140,10.5
13,2017-05-26 13:46:11,206,12.0
14,2017-05-26 06:29:09,200,4.0
15,2017-05-26 03:13:26,139,7.0
16,2017-05-26 02:09:53,135,13.0
17,2017-05-25 21:37:57,149,10.5
18,2017-05-25 15:03:33,175,8.0
19,2017-05-25 13:34:07,135,12.0
20,2017-05-25 13:33:30,130,9.5
21,2017-05-25 13:32:35,135,9.0
22,2017-05-25 06:10:08,200,10.0
23,2017-05-25 05:51:06,200,11.5
24,2017-05-25 05:42:24,200,10.5
25,2017-05-24 14:48:38,126,12.0
26,2017-05-23 21:12:48,145,10.5
27,2017-05-23 20:48:44,130,9.5
28,2017-05-23 18:19:32,135,10.5
29,2017-05-23 17:44:04,149,10.5
30,2017-05-23 15:55:06,191,11.0
31,2017-05-23 13:18:40,125,8.0
32,2017-05-23 12:53:42,185,10.5
33,2017-05-22 15:04:36,130,8.5
34,2017-05-22 07:16:39,175,9.5
35,2017-05-21 22:00:13,125,11.5
36,2017-05-21 16:06:34,175,10.0
37,2017-05-20 20:32:25,191,9.5
38,2017-05-20 15:04:11,125,10.0
39,2017-05-20 13:11:39,200,11.5
40,2017-05-19 14:59:31,216,9.0
41,2017-05-19 14:53:01,185,11.0
42,2017-05-19 12:16:06,175,13.0
43,2017-05-18 17:14:07,140,9.5
44,2017-05-18 15:39:48,140,12.0
45,2017-05-18 13:28:03,137,9.5
46,2017-05-18 13:01:40,120,13.0
47,2017-05-18 12:54:40,150,10.0
48,2017-05-18 05:21:36,175,9.5
49,2017-05-17 23:13:21,191,9.5
50,2017-05-17 20:26:05,185,8.5
51,2017-05-17 20:17:38,130,9.0
52,2017-05-17 14:57:17,140,8.5
53,2017-05-17 13:33:30,150,13.0
54,2017-05-17 07:18:24,216,12.0
55,2017-05-16 18:17:23,135,10.5
56,2017-05-16 18:01:35,135,10.5
57,2017-05-16 15:12:07,130,10.5
58,2017-05-16 15:04:21,185,9.0
59,2017-05-16 14:49:41,150,9.0
60,2017-05-16 13:42:23,140,10.0
61,2017-05-16 06:15:05,175,8.5
62,2017-05-15 07:32:31,175,11.0
63,2017-05-14 14:54:43,185,9.5
64,2017-05-12 16:11:52,191,10.0
65,2017-05-12 15:57:12,148,12.0
66,2017-05-12 15:20:53,145,9.5
67,2017-05-12 14:22:23,135,11.0
68,2017-05-12 14:09:50,175,9.5
69,2017-05-12 13:44:59,191,8.0
70,2017-05-12 12:39:22,140,9.5
71,2017-05-12 12:19:43,191,10.5
72,2017-05-12 05:37:00,175,10.5
73,2017-05-12 00:16:46,191,9.0
74,2017-05-11 17:35:54,150,10.0
75,2017-05-10 20:42:13,130,11.0
76,2017-05-10 18:47:41,170,14.0
77,2017-05-10 18:34:53,70,10.0
78,2017-05-10 16:54:11,136,9.0
79,2017-05-10 12:58:10,175,9.5
80,2017-05-10 12:54:04,150,10.0
81,2017-05-09 17:14:12,155,13.0
82,2017-05-09 15:20:32,145,10.5
83,2017-05-08 18:10:16,145,12.0
84,2017-05-08 17:09:36,145,9.5
85,2017-05-08 16:02:45,160,13.0
86,2017-05-08 14:46:02,169,9.5
87,2017-05-08 14:38:49,120,10.0
88,2017-05-07 15:22:49,175,11.0
89,2017-05-05 19:58:35,145,9.0
90,2017-05-05 18:45:19,150,9.5
91,2017-05-05 15:46:40,130,13.0
92,2017-05-05 14:36:23,144,12.0
93,2017-05-05 12:23:37,175,10.0
94,2017-05-04 22:47:59,145,11.0
95,2017-05-04 13:43:37,135,8.5
96,2017-05-03 22:57:11,149,11.5
97,2017-05-03 21:52:35,155,9.5
98,2017-05-03 19:17:30,135,12.0
99,2017-05-03 15:53:30,135,12.0
100,2017-05-03 15:37:17,175,11.0
101,2017-05-03 15:30:45,175,10.0
102,2017-05-03 15:29:19,200,10.5
103,2017-05-03 14:19:53,175,9.0
104,2017-05-03 14:17:19,175,10.0
105,2017-05-03 14:10:25,175,9.5
106,2017-05-03 13:54:45,175,10.0
107,2017-05-03 13:39:01,200,10.5
108,2017-05-03 13:32:31,200,12.0
109,2017-05-03 13:08:22,200,10.5
110,2017-05-03 12:57:27,200,8.5
111,2017-05-03 12:56:50,200,8.0
112,2017-05-03 12:41:44,175,10.0
113,2017-05-03 12:37:31,200,8.0
114,2017-05-03 12:35:11,200,12.0
115,2017-05-03 12:32:43,200,8.5
