,createdAt,amount,shoeSize
0,2017-09-05 20:03:40,200,6.5
1,2017-09-05 18:03:27,225,10.5
2,2017-09-05 04:54:07,229,11.0
3,2017-09-05 02:58:39,195,8.0
4,2017-09-03 14:39:07,205,8.0
5,2017-09-01 18:26:10,215,9.5
6,2017-08-31 20:27:03,264,13.0
7,2017-08-31 18:14:29,210,11.5
8,2017-08-31 14:50:22,152,6.5
9,2017-08-30 19:08:28,186,9.5
10,2017-08-30 16:33:35,225,12.0
11,2017-08-30 15:52:35,180,6.0
12,2017-08-28 16:23:46,275,10.0
13,2017-08-28 14:56:04,318,8.5
14,2017-08-28 14:22:20,287,7.0
15,2017-08-28 13:48:31,200,11.0
16,2017-08-28 13:34:13,190,9.0
17,2017-08-28 12:48:43,235,10.0
18,2017-08-26 00:11:15,293,6.5
19,2017-08-25 17:54:05,186,11.5
20,2017-08-25 17:44:45,205,10.0
21,2017-08-25 15:34:18,220,7.5
22,2017-08-25 15:22:31,191,9.0
23,2017-08-25 13:09:33,189,12.0
24,2017-08-24 23:11:34,200,12.0
25,2017-08-24 19:38:11,125,5.5
26,2017-08-23 14:20:16,195,9.0
27,2017-08-22 15:36:14,250,6.5
28,2017-08-21 18:59:15,230,4.5
29,2017-08-21 13:39:52,200,12.0
30,2017-08-19 14:24:31,270,4.0
31,2017-08-18 18:21:53,200,11.0
32,2017-08-17 14:58:29,225,6.5
33,2017-08-17 05:12:24,325,5.5
34,2017-08-16 18:17:51,210,11.5
35,2017-08-16 16:11:44,192,10.5
36,2017-08-15 15:28:43,195,11.5
37,2017-08-15 15:25:09,214,8.0
38,2017-08-15 15:12:30,225,8.5
39,2017-08-14 15:08:44,180,9.5
40,2017-08-12 07:01:02,364,8.5
41,2017-08-11 16:27:34,250,9.5
42,2017-08-11 15:17:04,150,6.5
43,2017-08-10 14:34:30,145,8.5
44,2017-08-09 18:31:04,250,10.5
45,2017-08-08 20:40:25,135,5.0
46,2017-08-08 00:09:37,250,7.0
47,2017-08-07 23:48:04,250,6.5
48,2017-08-07 23:33:18,250,7.0
49,2017-08-07 23:16:12,250,7.5
50,2017-08-07 22:37:13,250,8.5
51,2017-08-07 22:04:57,250,8.0
52,2017-08-07 22:03:14,225,12.0
53,2017-08-07 16:01:54,308,8.0
54,2017-08-06 13:04:49,325,6.5
55,2017-08-05 13:13:17,325,9.0
56,2017-08-05 00:05:07,275,10.0
57,2017-08-04 17:54:41,210,10.0
58,2017-08-03 15:11:08,190,9.0
59,2017-08-03 12:55:17,225,10.0
60,2017-08-02 20:12:40,180,12.0
61,2017-08-02 16:22:37,180,6.0
62,2017-08-02 13:01:27,145,6.5
63,2017-08-02 05:31:44,250,11.0
64,2017-08-01 16:59:28,115,7.0
65,2017-08-01 14:24:03,230,10.0
66,2017-07-31 15:42:22,195,11.0
67,2017-07-28 15:43:53,250,10.0
68,2017-07-28 14:10:50,224,9.0
69,2017-07-28 13:13:53,225,11.0
70,2017-07-27 19:17:00,250,10.5
71,2017-07-27 18:13:27,194,11.0
72,2017-07-27 00:54:41,225,11.5
73,2017-07-26 19:43:03,185,11.5
74,2017-07-26 18:24:52,250,10.0
75,2017-07-26 17:11:23,201,9.0
76,2017-07-26 15:26:23,209,12.0
77,2017-07-26 14:39:07,185,8.0
78,2017-07-26 14:32:17,230,10.5
79,2017-07-25 18:07:08,250,8.0
80,2017-07-25 16:31:22,250,6.5
81,2017-07-25 14:54:54,140,6.5
82,2017-07-25 07:44:36,250,12.0
83,2017-07-25 05:01:38,250,7.5
84,2017-07-24 14:58:07,180,6.0
85,2017-07-23 21:00:47,225,9.0
86,2017-07-22 23:57:15,250,6.0
87,2017-07-22 21:14:07,225,12.0
88,2017-07-22 14:52:13,250,10.5
89,2017-07-22 07:31:58,410,10.5
90,2017-07-20 19:28:17,250,6.0
91,2017-07-20 17:59:52,250,10.0
92,2017-07-20 17:05:22,250,8.5
93,2017-07-20 13:59:32,215,8.5
94,2017-07-20 13:21:52,195,12.0
95,2017-07-19 19:35:06,250,5.0
96,2017-07-19 18:43:29,225,11.0
97,2017-07-19 13:40:14,215,10.0
98,2017-07-19 09:32:25,250,11.0
99,2017-07-18 17:51:39,344,10.5
100,2017-07-18 11:38:12,250,6.0
101,2017-07-18 11:36:14,325,6.5
102,2017-07-17 17:11:42,325,6.5
103,2017-07-17 13:43:00,240,10.0
104,2017-07-17 12:43:07,205,12.0
105,2017-07-16 06:59:53,250,5.5
106,2017-07-15 22:08:48,225,10.0
107,2017-07-15 12:39:21,313,13.0
108,2017-07-14 13:35:19,190,11.5
109,2017-07-14 13:00:44,220,10.5
110,2017-07-13 18:31:05,219,10.5
111,2017-07-13 13:38:15,210,8.0
112,2017-07-13 13:37:43,210,8.0
113,2017-07-12 19:49:13,229,10.5
114,2017-07-12 16:11:26,202,8.5
115,2017-07-11 19:29:36,199,10.5
116,2017-07-11 15:35:19,215,10.0
117,2017-07-10 20:25:35,225,9.0
118,2017-07-10 13:18:41,250,10.5
119,2017-07-10 06:39:10,415,12.0
120,2017-07-10 00:13:16,225,11.5
121,2017-07-09 08:59:17,250,12.0
122,2017-07-08 22:09:29,250,6.5
123,2017-07-08 21:39:59,277,13.0
124,2017-07-07 12:46:49,308,9.0
125,2017-07-07 12:27:53,282,6.0
126,2017-07-07 06:59:16,313,9.0
127,2017-07-06 13:37:36,293,7.0
128,2017-07-06 13:13:13,250,8.5
129,2017-07-05 18:32:04,225,12.0
130,2017-07-05 16:03:48,210,7.5
131,2017-07-05 05:10:30,389,5.0
132,2017-07-04 13:34:28,250,8.0
133,2017-07-04 12:48:29,369,5.0
134,2017-07-03 21:08:51,275,4.5
135,2017-06-29 15:24:02,250,10.0
136,2017-06-29 14:32:57,325,9.0
137,2017-06-29 07:02:37,344,12.0
138,2017-06-28 16:50:10,250,9.0
