,createdAt,amount,shoeSize
0,2017-06-19 13:49:41,167,11.5
1,2017-06-19 13:44:47,175,9.0
2,2017-06-19 12:11:57,145,10.5
3,2017-06-19 12:10:49,145,9.0
4,2017-06-19 11:34:09,179,10.0
5,2017-06-19 00:54:27,160,7.0
6,2017-06-18 23:18:11,216,7.0
7,2017-06-18 21:45:09,211,5.0
8,2017-06-18 21:28:00,216,10.0
9,2017-06-18 21:13:44,216,9.5
10,2017-06-18 21:02:33,242,4.0
11,2017-06-18 20:55:20,201,10.5
12,2017-06-18 16:58:51,184,9.5
13,2017-06-18 16:19:04,200,9.0
14,2017-06-18 16:16:22,200,6.5
15,2017-06-18 16:02:04,211,5.0
16,2017-06-18 15:55:37,216,9.0
17,2017-06-18 15:42:04,225,8.0
18,2017-06-18 14:15:48,175,6.5
19,2017-06-18 13:57:31,175,8.0
20,2017-06-18 13:38:59,200,5.0
21,2017-06-18 13:01:09,200,8.5
22,2017-06-18 12:31:11,216,9.5
23,2017-06-18 11:05:12,150,10.0
24,2017-06-18 07:31:25,216,7.5
25,2017-06-18 06:29:45,235,10.0
26,2017-06-18 06:23:16,216,9.0
27,2017-06-18 05:44:21,160,12.0
28,2017-06-18 04:58:46,211,5.0
29,2017-06-18 01:32:43,153,11.5
30,2017-06-18 00:50:12,179,11.0
31,2017-06-17 23:59:15,200,9.5
32,2017-06-17 23:53:13,145,5.0
33,2017-06-17 23:30:42,201,8.0
34,2017-06-17 22:59:48,140,10.0
35,2017-06-17 22:05:51,211,9.0
36,2017-06-17 21:48:10,225,5.5
37,2017-06-17 19:51:26,169,10.5
38,2017-06-17 19:24:43,164,13.0
39,2017-06-17 16:01:37,211,4.5
40,2017-06-17 15:53:18,225,5.0
41,2017-06-17 15:49:08,225,7.0
42,2017-06-17 15:09:11,200,11.0
43,2017-06-17 15:02:30,211,5.0
44,2017-06-17 14:57:44,200,9.0
45,2017-06-17 14:55:42,225,5.5
46,2017-06-17 14:15:15,200,7.5
47,2017-06-17 14:11:19,200,7.5
48,2017-06-17 13:40:58,215,9.5
49,2017-06-17 13:18:44,170,10.5
50,2017-06-17 12:59:29,200,8.5
51,2017-06-17 12:41:12,185,13.0
52,2017-06-17 06:42:36,200,11.0
53,2017-06-17 06:01:22,180,7.5
54,2017-06-16 23:36:58,200,9.0
55,2017-06-16 22:11:35,225,7.0
56,2017-06-16 21:15:08,150,4.5
57,2017-06-16 21:14:27,185,13.0
58,2017-06-16 20:26:47,165,10.0
59,2017-06-16 19:34:20,150,12.0
60,2017-06-16 16:22:15,200,10.5
61,2017-06-16 16:17:17,200,12.0
