,createdAt,amount,shoeSize
0,2017-06-06 13:56:57,115,9.5
1,2017-06-06 13:54:01,115,10.0
2,2017-06-06 13:51:28,115,10.5
3,2017-06-06 13:20:19,115,8.0
4,2017-06-06 13:13:55,115,13.0
5,2017-06-06 13:10:31,115,8.0
6,2017-06-06 13:06:45,115,9.0
7,2017-06-06 06:23:03,115,11.0
8,2017-06-06 06:21:19,115,10.5
9,2017-06-06 05:53:20,115,10.0
10,2017-06-06 05:49:25,115,9.0
11,2017-06-06 05:27:03,115,10.5
12,2017-06-06 05:13:22,115,11.0
13,2017-06-06 03:21:10,115,9.5
14,2017-06-06 03:20:03,115,12.0
15,2017-06-06 03:14:56,115,10.0
16,2017-06-06 01:22:20,115,8.0
17,2017-06-06 01:22:11,115,9.0
18,2017-06-06 00:03:09,110,10.5
19,2017-06-05 16:43:00,115,8.0
20,2017-06-05 14:28:56,115,10.0
21,2017-06-05 14:23:48,115,8.0
22,2017-06-05 13:36:49,115,9.5
23,2017-06-05 13:34:26,175,11.5
24,2017-06-05 05:28:17,115,8.0
25,2017-06-05 03:56:25,115,10.5
26,2017-06-05 01:08:50,115,8.0
27,2017-06-05 00:28:26,115,9.5
28,2017-06-04 23:58:39,115,8.0
29,2017-06-04 22:40:55,206,11.5
30,2017-06-04 14:24:17,185,9.0
31,2017-06-04 13:26:35,175,10.0
32,2017-06-04 05:46:53,211,11.5
33,2017-06-04 03:34:32,115,10.0
34,2017-06-03 07:33:51,175,10.0
35,2017-06-03 06:17:55,115,13.0
36,2017-06-03 06:17:50,115,12.0
37,2017-06-03 03:17:04,115,10.0
38,2017-06-03 03:16:51,115,11.0
39,2017-06-03 03:15:06,115,10.5
40,2017-06-03 01:18:46,115,8.5
41,2017-06-02 17:47:06,115,9.5
42,2017-06-02 17:02:17,115,10.5
43,2017-06-02 16:03:15,211,12.0
44,2017-06-02 15:39:49,115,13.0
45,2017-06-02 14:50:19,115,11.5
46,2017-06-02 14:19:27,216,10.0
47,2017-06-02 14:05:09,115,13.0
48,2017-06-02 13:44:37,115,10.5
49,2017-06-02 13:44:12,206,8.5
50,2017-06-02 13:29:49,206,11.0
51,2017-06-02 13:26:48,206,8.0
52,2017-06-02 08:03:04,175,8.5
53,2017-06-02 06:19:49,175,8.5
54,2017-06-01 20:43:14,114,9.5
55,2017-06-01 16:06:20,175,8.5
56,2017-06-01 13:51:12,201,11.0
57,2017-06-01 13:44:40,175,8.5
58,2017-06-01 08:38:46,175,11.0
59,2017-06-01 00:06:50,175,12.0
60,2017-05-31 23:03:58,175,12.0
61,2017-05-31 14:19:29,115,10.5
62,2017-05-31 12:53:16,115,12.0
63,2017-05-31 12:19:21,175,11.0
