,createdAt,amount,shoeSize
0,2017-10-07 20:57:06,500,12.0
1,2017-10-07 06:27:34,600,13.0
2,2017-10-07 00:28:47,450,10.0
3,2017-10-06 23:07:22,595,8.5
4,2017-10-06 19:27:40,500,9.0
5,2017-10-06 17:30:17,540,11.5
6,2017-10-06 15:44:40,478,10.0
7,2017-10-06 13:37:23,650,9.0
8,2017-10-05 13:41:15,600,9.0
9,2017-10-04 23:07:43,569,9.0
10,2017-10-04 17:05:45,575,9.5
11,2017-10-04 06:36:53,600,13.0
12,2017-10-04 00:43:37,600,12.0
13,2017-10-03 12:54:29,500,12.0
14,2017-10-02 19:32:34,585,8.5
15,2017-10-02 16:45:49,540,9.0
16,2017-10-02 12:33:24,467,10.5
17,2017-10-02 06:55:45,550,12.0
18,2017-10-01 16:07:17,650,10.0
19,2017-09-30 12:59:29,575,10.5
20,2017-09-29 19:00:14,420,12.0
21,2017-09-29 13:44:22,500,10.0
22,2017-09-29 12:41:44,523,9.5
23,2017-09-28 23:27:15,500,10.5
24,2017-09-28 15:43:13,460,12.0
25,2017-09-28 14:15:23,505,10.0
26,2017-09-27 14:54:13,470,9.0
27,2017-09-26 18:42:24,573,8.5
28,2017-09-26 13:45:20,529,9.0
29,2017-09-26 08:10:12,415,9.0
30,2017-09-26 07:21:46,465,11.5
31,2017-09-26 07:19:50,440,10.5
32,2017-09-26 07:00:36,440,12.0
33,2017-09-26 06:11:47,440,10.0
34,2017-09-26 06:01:57,465,8.5
35,2017-09-26 05:43:22,415,8.0
36,2017-09-25 18:56:07,480,9.0
37,2017-09-25 17:55:24,519,8.5
38,2017-09-25 14:50:19,485,12.0
39,2017-09-25 13:13:32,540,9.0
40,2017-09-25 08:23:43,650,9.5
41,2017-09-22 18:35:15,550,12.0
42,2017-09-22 15:42:02,520,9.5
43,2017-09-22 13:33:51,494,9.0
44,2017-09-21 21:11:34,511,10.0
45,2017-09-21 15:38:03,525,9.5
46,2017-09-21 15:11:02,549,9.5
47,2017-09-21 12:08:09,500,9.5
48,2017-09-21 11:50:30,460,10.5
49,2017-09-20 20:17:06,465,10.5
50,2017-09-20 15:25:52,480,8.5
51,2017-09-20 13:52:31,600,11.5
52,2017-09-20 13:47:40,600,11.5
53,2017-09-20 07:57:43,625,9.0
54,2017-09-19 21:22:33,512,8.5
55,2017-09-19 17:37:32,950,7.0
56,2017-09-18 20:37:30,500,8.0
57,2017-09-18 20:29:00,520,9.5
58,2017-09-18 18:47:01,480,8.0
59,2017-09-18 16:26:54,515,9.0
60,2017-09-18 13:54:13,500,11.0
61,2017-09-15 16:30:44,460,12.0
62,2017-09-15 14:11:31,500,13.0
63,2017-09-14 21:56:22,550,12.0
64,2017-09-14 20:00:48,465,10.5
65,2017-09-14 19:14:09,480,9.5
66,2017-09-14 13:23:27,450,10.5
67,2017-09-14 13:06:54,415,10.5
68,2017-09-14 07:39:03,550,12.0
69,2017-09-14 06:30:00,700,7.5
70,2017-09-13 21:03:32,525,11.0
71,2017-09-13 20:44:41,495,9.0
72,2017-09-13 14:33:05,450,12.0
73,2017-09-13 14:16:46,426,10.5
74,2017-09-13 10:49:25,700,7.0
75,2017-09-12 21:43:02,726,11.0
76,2017-09-12 15:19:26,465,10.0
77,2017-09-12 15:08:19,426,10.0
78,2017-09-12 14:30:55,450,8.5
79,2017-09-12 13:34:45,460,8.0
80,2017-09-12 13:30:18,550,9.5
81,2017-09-12 00:20:15,517,9.0
82,2017-09-12 00:17:48,517,8.5
