,createdAt,amount,shoeSize
0,2017-08-28 21:17:08,306,10.5
1,2017-08-28 13:51:40,280,10.0
2,2017-08-27 01:19:55,296,9.5
3,2017-08-26 15:26:52,290,8.0
4,2017-08-24 14:44:36,497,10.5
5,2017-08-22 17:46:53,280,10.0
6,2017-08-22 17:34:38,300,10.5
7,2017-08-17 20:14:45,285,10.0
8,2017-08-17 19:23:45,286,10.0
9,2017-08-17 15:21:30,317,11.0
10,2017-08-16 23:06:32,295,9.5
11,2017-08-11 19:01:18,310,11.0
12,2017-08-09 18:57:39,305,10.5
13,2017-08-09 17:52:49,410,12.0
14,2017-08-07 18:47:19,301,10.5
15,2017-08-07 13:08:04,300,10.0
16,2017-08-06 15:50:33,446,8.0
17,2017-08-03 14:13:05,190,8.5
18,2017-08-03 14:04:23,300,11.0
19,2017-08-01 13:19:18,254,5.5
20,2017-07-27 14:13:37,310,11.0
21,2017-07-27 06:10:14,497,6.5
22,2017-07-25 20:04:14,329,6.5
23,2017-07-25 15:49:25,301,10.5
24,2017-07-24 21:13:58,319,9.0
25,2017-07-24 15:02:57,310,11.0
26,2017-07-23 13:48:54,446,7.0
27,2017-07-21 17:55:27,275,9.0
28,2017-07-21 13:11:56,250,9.0
29,2017-07-20 13:13:48,300,11.0
30,2017-07-19 19:40:48,290,8.5
31,2017-07-17 16:28:59,522,10.0
32,2017-07-17 15:00:23,270,10.5
33,2017-07-14 14:13:27,265,10.0
34,2017-07-14 13:51:38,280,9.5
35,2017-07-13 18:46:43,285,11.0
36,2017-07-13 13:48:19,471,8.5
37,2017-07-12 18:28:45,318,9.0
38,2017-07-12 17:59:07,280,8.0
39,2017-07-10 15:48:56,242,10.0
40,2017-07-10 14:23:15,471,7.0
41,2017-07-08 15:48:57,320,8.5
42,2017-07-07 13:56:05,517,10.5
43,2017-07-06 21:12:53,319,9.0
44,2017-07-06 17:44:29,235,7.0
45,2017-07-06 06:10:43,461,7.0
46,2017-07-06 05:14:12,446,8.0
47,2017-07-05 13:53:24,305,10.0
48,2017-06-29 23:44:56,410,13.0
49,2017-06-29 23:18:44,280,10.0
50,2017-06-29 21:45:14,250,7.0
51,2017-06-29 16:04:53,275,9.5
52,2017-06-27 13:57:10,319,9.0
53,2017-06-23 20:53:48,290,10.0
54,2017-06-21 19:12:10,390,11.5
55,2017-06-21 15:27:28,295,9.5
56,2017-06-21 14:29:38,334,11.5
57,2017-06-21 14:15:24,325,11.5
58,2017-06-21 14:12:01,415,12.0
59,2017-06-20 18:04:50,310,7.5
60,2017-06-19 16:40:21,295,10.0
61,2017-06-18 23:21:50,521,7.5
62,2017-06-17 02:00:17,325,11.5
63,2017-06-16 14:20:10,310,8.5
64,2017-06-16 13:05:15,300,10.0
65,2017-06-15 20:49:29,320,9.0
66,2017-06-14 16:05:43,415,12.0
67,2017-06-12 14:30:14,300,8.5
68,2017-06-09 19:08:17,325,7.5
69,2017-06-08 19:35:46,400,13.0
70,2017-06-07 19:13:57,320,9.5
71,2017-06-07 17:58:01,329,11.0
72,2017-06-06 17:24:15,310,7.5
73,2017-06-02 19:40:14,305,8.5
74,2017-06-02 19:15:36,250,7.0
75,2017-06-02 19:05:20,325,10.0
76,2017-06-01 15:21:58,401,12.0
77,2017-05-31 17:48:51,310,7.5
78,2017-05-31 15:50:08,335,11.5
79,2017-05-31 14:42:33,335,9.0
80,2017-05-31 14:34:51,340,11.5
81,2017-05-31 14:28:45,330,11.0
82,2017-05-31 14:22:56,335,9.0
83,2017-05-30 19:03:48,320,10.5
84,2017-05-26 04:39:21,451,13.0
85,2017-05-25 21:37:52,325,10.0
86,2017-05-25 21:12:34,350,11.0
87,2017-05-25 15:41:13,310,9.5
88,2017-05-24 18:02:40,334,10.5
89,2017-05-24 17:38:21,335,9.5
90,2017-05-23 21:43:04,368,10.0
91,2017-05-23 15:47:59,345,10.5
92,2017-05-22 15:45:16,375,11.0
93,2017-05-19 14:50:25,350,9.5
94,2017-05-19 14:40:07,350,8.5
95,2017-05-18 18:08:57,325,7.5
96,2017-05-18 15:58:23,471,7.0
97,2017-05-17 20:43:13,333,11.0
98,2017-05-17 20:29:47,346,8.5
99,2017-05-17 17:45:39,370,10.0
100,2017-05-17 15:54:39,350,11.0
101,2017-05-17 15:33:49,350,10.0
102,2017-05-17 13:50:21,345,9.0
103,2017-05-16 17:07:27,490,13.0
104,2017-05-15 15:21:42,390,11.0
105,2017-05-12 20:24:10,471,10.5
106,2017-05-12 19:01:54,375,11.0
107,2017-05-11 17:47:11,335,9.5
108,2017-05-11 17:42:13,375,10.0
109,2017-05-11 14:49:56,390,11.0
110,2017-05-11 14:20:59,317,6.5
111,2017-05-11 13:42:11,370,10.5
112,2017-05-10 20:32:45,350,11.5
113,2017-05-10 16:23:13,350,10.5
114,2017-05-10 13:50:24,366,9.5
115,2017-05-09 21:16:05,471,10.0
116,2017-05-09 20:21:09,370,10.5
117,2017-05-08 15:30:25,353,9.0
118,2017-05-08 15:08:31,350,7.5
119,2017-05-08 15:02:20,515,13.0
120,2017-05-08 13:38:33,350,9.0
121,2017-05-06 14:37:34,471,9.5
122,2017-05-05 19:12:37,255,7.0
123,2017-05-05 17:06:18,400,10.0
124,2017-05-05 15:18:56,380,10.0
125,2017-05-05 15:16:29,471,8.0
126,2017-05-05 14:17:40,375,11.5
127,2017-05-04 21:51:38,550,13.0
128,2017-05-04 21:04:29,400,11.5
129,2017-05-04 20:31:55,375,10.5
130,2017-05-04 15:35:08,350,7.5
131,2017-05-04 06:29:46,497,7.5
132,2017-05-04 00:18:29,500,13.0
133,2017-05-04 00:02:21,371,8.0
134,2017-05-03 23:43:42,400,9.5
135,2017-05-03 23:23:10,375,9.5
136,2017-05-03 19:53:47,350,9.0
137,2017-05-03 18:23:41,390,11.5
138,2017-05-03 18:02:37,401,9.5
139,2017-05-03 15:01:13,323,6.5
140,2017-05-02 17:26:36,370,5.5
141,2017-05-02 15:54:57,400,9.5
142,2017-05-02 15:00:09,395,8.5
143,2017-05-02 13:51:23,400,8.0
144,2017-05-01 16:23:00,301,7.0
145,2017-05-01 16:06:18,500,12.0
146,2017-05-01 16:06:08,359,7.0
147,2017-05-01 16:00:20,400,8.0
148,2017-05-01 15:16:22,500,12.0
149,2017-05-01 14:12:43,475,10.0
150,2017-05-01 14:10:12,400,10.0
151,2017-05-01 14:07:40,400,10.0
152,2017-05-01 13:38:06,510,12.0
153,2017-05-01 12:28:25,685,13.0
154,2017-04-28 17:25:20,410,8.5
155,2017-04-28 15:51:18,600,11.5
156,2017-04-28 15:32:05,540,8.5
157,2017-04-28 15:27:13,350,7.0
158,2017-04-28 14:34:49,399,8.0
159,2017-04-28 14:24:32,445,11.0
160,2017-04-28 14:18:47,440,10.5
161,2017-04-28 14:14:03,400,9.5
162,2017-04-28 13:55:12,500,10.5
163,2017-04-28 13:15:14,575,13.0
164,2017-04-27 23:32:10,650,13.0
165,2017-04-27 18:21:30,500,8.5
166,2017-04-27 15:35:18,501,10.5
167,2017-04-27 15:33:27,430,8.5
168,2017-04-27 15:33:22,320,7.0
169,2017-04-27 15:27:02,550,10.0
170,2017-04-27 15:05:08,460,8.0
171,2017-04-27 14:51:52,550,12.0
172,2017-04-27 13:36:47,400,7.5
173,2017-04-26 19:41:46,550,12.0
174,2017-04-26 19:19:14,460,11.0
175,2017-04-26 19:10:51,515,10.5
176,2017-04-26 18:31:44,375,4.5
177,2017-04-26 18:23:08,500,8.5
178,2017-04-26 18:09:54,405,10.0
179,2017-04-26 17:28:21,580,12.0
