,createdAt,amount,shoeSize
0,2017-08-30 04:30:08,1051,9.5
1,2017-08-29 23:28:36,1123,8.5
2,2017-08-29 23:27:32,1124,8.5
3,2017-08-29 21:13:12,1100,8.0
4,2017-08-29 19:05:22,1100,10.5
5,2017-08-29 18:10:08,1060,10.0
6,2017-08-29 15:52:17,1360,7.0
7,2017-08-29 09:35:14,1220,12.0
8,2017-08-28 23:29:09,1057,10.0
9,2017-08-28 23:16:52,1125,8.0
10,2017-08-28 21:23:21,1075,10.5
11,2017-08-28 18:51:18,1100,8.5
12,2017-08-28 15:40:23,1035,9.5
13,2017-08-28 15:01:13,985,13.0
14,2017-08-28 15:00:04,1100,10.0
15,2017-08-28 13:58:17,1040,10.0
16,2017-08-27 19:29:51,1061,10.0
17,2017-08-27 19:20:21,1075,11.0
18,2017-08-26 19:17:38,1050,10.5
19,2017-08-25 18:46:53,1045,8.0
20,2017-08-25 10:38:24,1051,11.0
21,2017-08-25 03:13:40,1300,12.0
22,2017-08-24 18:33:35,1055,10.5
23,2017-08-24 18:08:20,1050,10.5
24,2017-08-24 17:29:01,1230,9.0
25,2017-08-24 14:41:42,1065,10.0
26,2017-08-23 21:04:46,1075,10.0
27,2017-08-23 15:18:10,1085,11.0
28,2017-08-23 15:06:35,1135,12.0
29,2017-08-23 12:24:13,1240,9.0
30,2017-08-23 09:15:04,1110,13.0
31,2017-08-22 20:20:06,1100,10.0
32,2017-08-22 19:04:41,1100,11.0
33,2017-08-22 15:55:09,1220,12.0
34,2017-08-21 16:09:46,1070,13.0
35,2017-08-21 15:06:44,1021,10.5
36,2017-08-21 14:57:59,1054,9.5
37,2017-08-21 14:44:01,1095,10.5
38,2017-08-21 14:35:29,1155,11.5
39,2017-08-21 14:28:05,1047,11.0
40,2017-08-21 14:26:49,1100,9.5
41,2017-08-21 14:02:49,1060,9.5
42,2017-08-18 20:13:57,1005,13.0
43,2017-08-18 17:10:10,1111,8.5
44,2017-08-18 13:52:16,1055,10.0
45,2017-08-17 20:00:50,1140,9.5
46,2017-08-17 18:48:00,1145,8.0
47,2017-08-17 18:14:12,1050,13.0
48,2017-08-17 01:34:56,1025,10.5
49,2017-08-16 20:35:31,1075,10.5
50,2017-08-16 20:07:43,1050,10.0
51,2017-08-16 19:01:10,1140,10.5
52,2017-08-16 15:37:48,998,13.0
53,2017-08-16 13:16:28,1120,10.0
54,2017-08-15 14:04:44,1060,10.5
55,2017-08-15 12:35:12,1060,13.0
56,2017-08-14 14:55:22,1060,11.0
57,2017-08-14 14:43:19,1051,11.0
58,2017-08-14 13:12:37,1101,14.0
59,2017-08-14 12:54:56,1140,10.0
60,2017-08-14 12:42:21,1145,9.5
61,2017-08-11 15:15:10,1130,13.0
62,2017-08-11 14:32:17,1051,10.5
63,2017-08-11 14:09:25,1055,10.0
64,2017-08-11 13:48:18,1076,13.0
65,2017-08-11 13:06:33,1165,8.5
66,2017-08-10 18:24:46,1190,12.0
67,2017-08-10 13:38:45,1075,10.5
68,2017-08-09 22:42:12,1145,12.0
69,2017-08-09 21:55:50,1200,11.5
70,2017-08-09 15:13:07,1091,8.0
71,2017-08-08 20:45:59,1125,11.0
72,2017-08-08 20:14:51,1100,13.0
73,2017-08-08 18:34:51,1070,10.0
74,2017-08-08 15:30:33,1180,14.0
75,2017-08-06 14:54:42,1125,11.0
76,2017-08-04 20:35:43,1115,10.0
77,2017-08-04 19:31:19,1115,10.0
78,2017-08-04 19:18:48,1170,10.5
79,2017-08-04 19:15:15,1180,13.0
80,2017-08-04 17:43:14,1225,8.5
81,2017-08-04 17:37:44,1116,8.5
82,2017-08-04 15:09:51,1200,7.0
83,2017-08-04 14:12:00,1150,8.5
84,2017-08-03 18:58:03,1115,8.5
85,2017-08-02 19:43:42,1199,10.5
86,2017-08-02 15:08:58,1021,10.5
87,2017-08-02 15:03:17,1050,10.5
88,2017-08-02 13:38:30,1200,13.0
89,2017-08-02 13:22:44,1135,12.0
90,2017-08-02 12:32:50,1190,10.0
91,2017-08-01 18:04:23,1150,11.0
92,2017-08-01 17:29:02,1150,10.0
93,2017-08-01 17:25:21,1111,9.5
94,2017-08-01 15:50:13,1180,10.5
95,2017-08-01 15:10:09,1010,11.0
96,2017-07-31 18:17:42,1051,10.0
97,2017-07-31 18:14:27,1150,8.0
98,2017-07-31 15:07:53,1055,10.0
99,2017-07-31 13:17:27,1200,11.0
100,2017-07-31 13:10:08,1400,12.0
101,2017-07-31 13:07:10,1150,11.0
102,2017-07-28 18:16:29,1040,10.0
103,2017-07-28 17:17:52,1112,8.0
104,2017-07-27 21:52:45,1050,10.0
105,2017-07-27 20:12:59,1103,9.0
106,2017-07-27 16:00:20,1075,10.5
107,2017-07-27 14:27:03,1200,11.0
108,2017-07-26 19:56:58,1100,11.0
109,2017-07-26 19:30:30,1200,9.5
110,2017-07-26 19:10:09,1050,11.0
111,2017-07-26 18:30:33,1099,10.0
112,2017-07-26 17:58:31,1101,12.0
113,2017-07-25 19:35:09,1426,7.0
114,2017-07-24 18:37:29,1240,11.5
115,2017-07-24 15:27:08,1150,8.0
116,2017-07-24 15:23:13,1100,10.0
117,2017-07-21 20:28:16,1100,8.5
118,2017-07-21 15:51:58,1295,9.0
119,2017-07-20 19:24:30,1100,7.5
120,2017-07-20 18:26:21,1165,13.0
121,2017-07-20 15:42:34,1100,13.0
122,2017-07-20 14:51:12,1125,11.0
123,2017-07-20 14:47:14,1150,8.5
124,2017-07-20 14:45:24,1200,11.5
125,2017-07-20 13:59:05,1141,11.5
126,2017-07-20 13:57:18,1140,8.0
127,2017-07-20 13:21:16,1008,13.0
128,2017-07-19 18:19:42,1150,9.0
129,2017-07-19 15:51:56,1200,9.0
130,2017-07-19 14:58:54,1060,10.5
131,2017-07-19 14:23:32,1275,9.5
132,2017-07-18 17:32:59,1234,9.5
133,2017-07-17 18:51:15,1100,9.5
134,2017-07-17 16:22:22,1150,9.0
135,2017-07-17 14:05:22,1066,10.0
136,2017-07-14 20:36:58,1050,13.0
137,2017-07-14 18:07:42,1200,8.5
138,2017-07-14 17:59:52,1015,9.5
139,2017-07-13 18:52:37,1000,10.5
140,2017-07-13 18:50:57,1200,11.5
141,2017-07-13 15:05:57,1200,9.5
142,2017-07-13 13:36:10,1126,11.5
143,2017-07-13 12:43:28,1105,11.0
144,2017-07-12 18:11:39,1250,9.0
145,2017-07-12 17:30:43,1150,11.5
146,2017-07-12 16:17:57,1130,10.0
147,2017-07-12 15:20:33,1145,8.0
148,2017-07-12 13:34:12,1150,10.0
149,2017-07-11 18:45:10,1100,10.5
150,2017-07-11 14:13:16,1150,10.0
151,2017-07-10 21:35:57,1449,12.0
152,2017-07-10 13:23:08,1032,11.0
153,2017-07-07 19:48:31,1150,10.0
154,2017-07-07 16:52:29,1105,8.0
155,2017-07-07 15:10:20,1240,10.5
156,2017-07-06 21:06:34,1170,9.5
157,2017-07-06 16:57:27,1200,13.0
158,2017-07-06 13:45:14,1200,9.5
159,2017-07-06 13:36:51,1150,11.0
160,2017-07-05 23:46:39,1175,10.5
161,2017-07-05 17:52:54,1090,10.0
162,2017-07-05 16:09:05,1150,13.0
163,2017-07-05 14:35:45,1250,11.0
164,2017-07-05 13:24:36,1375,9.0
165,2017-06-30 13:48:02,1160,9.5
166,2017-06-29 23:29:28,1050,10.0
167,2017-06-29 21:41:51,1345,12.0
168,2017-06-29 19:59:00,1201,11.5
169,2017-06-29 14:52:16,1225,8.5
170,2017-06-29 14:19:07,1250,9.0
171,2017-06-28 20:18:50,1160,10.5
172,2017-06-28 20:14:30,1055,11.0
173,2017-06-28 17:46:10,1050,9.0
174,2017-06-28 15:24:02,1175,10.5
175,2017-06-28 14:21:15,1120,10.0
176,2017-06-28 13:23:27,1171,8.5
177,2017-06-27 14:39:18,1165,11.5
178,2017-06-27 14:32:15,1105,8.0
179,2017-06-23 19:45:25,1100,11.0
180,2017-06-23 18:54:32,1175,9.5
181,2017-06-23 18:00:10,1300,9.0
182,2017-06-23 14:36:23,1150,11.0
