,createdAt,amount,shoeSize
0,2017-06-26 14:09:55,130,13.0
1,2017-06-26 14:05:14,130,11.0
2,2017-06-26 14:04:35,124,9.0
3,2017-06-26 14:03:31,124,9.0
4,2017-06-26 14:01:55,129,9.5
5,2017-06-26 13:45:25,135,8.5
6,2017-06-25 23:04:28,130,9.0
7,2017-06-25 16:17:53,180,8.5
8,2017-06-25 16:03:28,175,11.5
9,2017-06-25 15:03:27,175,10.5
10,2017-06-25 14:04:22,191,12.0
11,2017-06-25 13:32:33,175,9.0
12,2017-06-25 13:27:49,175,7.5
13,2017-06-25 13:08:51,130,12.0
14,2017-06-25 03:52:31,145,11.0
15,2017-06-25 02:14:21,125,12.0
16,2017-06-24 23:09:47,135,9.5
17,2017-06-24 22:07:29,175,11.0
18,2017-06-24 19:21:45,130,13.0
19,2017-06-24 19:20:49,128,12.0
20,2017-06-24 18:18:32,145,10.0
21,2017-06-24 18:09:17,145,13.0
22,2017-06-24 16:48:01,200,7.0
23,2017-06-24 16:31:04,191,9.0
24,2017-06-24 15:11:45,175,8.0
25,2017-06-24 14:59:25,129,9.0
26,2017-06-24 05:19:47,175,8.5
27,2017-06-24 04:03:41,120,9.0
28,2017-06-24 03:43:32,125,9.0
29,2017-06-23 23:51:05,200,11.0
30,2017-06-23 18:59:35,115,9.5
31,2017-06-23 18:35:09,116,9.5
32,2017-06-23 17:20:20,115,9.0
33,2017-06-23 16:52:57,124,10.0
34,2017-06-23 15:53:50,125,13.0
35,2017-06-23 15:27:26,150,11.5
36,2017-06-23 14:55:50,129,10.5
37,2017-06-23 14:44:21,175,16.0
38,2017-06-23 14:29:54,125,10.5
39,2017-06-23 14:29:42,128,9.0
40,2017-06-23 14:07:08,175,9.5
41,2017-06-23 12:48:57,137,10.5
42,2017-06-23 07:03:04,191,12.5
43,2017-06-23 06:54:41,235,14.0
44,2017-06-22 21:11:29,125,10.5
45,2017-06-22 20:41:45,120,8.0
46,2017-06-22 20:28:57,128,10.5
47,2017-06-22 20:20:54,120,8.5
48,2017-06-22 19:29:38,126,9.0
49,2017-06-22 18:51:50,128,9.5
50,2017-06-22 17:51:03,105,11.0
51,2017-06-22 17:32:19,125,9.5
52,2017-06-22 17:32:16,130,13.0
53,2017-06-22 17:31:34,130,11.0
54,2017-06-22 15:51:12,191,14.0
55,2017-06-22 15:47:02,191,14.0
56,2017-06-22 15:43:52,130,11.0
57,2017-06-22 15:10:11,175,11.5
58,2017-06-22 14:42:34,155,8.5
59,2017-06-22 13:36:15,120,11.0
60,2017-06-22 12:51:48,175,10.5
61,2017-06-22 12:31:18,175,12.0
62,2017-06-22 07:17:20,191,8.5
63,2017-06-22 02:52:18,110,10.5
64,2017-06-21 23:44:39,175,10.5
65,2017-06-21 17:48:41,130,9.5
66,2017-06-21 16:10:12,235,12.0
67,2017-06-21 15:40:14,137,12.0
68,2017-06-21 15:30:29,130,12.0
69,2017-06-21 14:44:01,230,14.0
70,2017-06-21 14:28:17,130,10.5
71,2017-06-21 14:20:09,133,10.0
72,2017-06-21 14:10:55,100,9.5
73,2017-06-21 13:49:12,231,11.0
74,2017-06-21 13:46:36,125,12.0
75,2017-06-21 13:06:42,145,11.0
76,2017-06-21 09:09:31,231,11.5
77,2017-06-21 08:55:12,191,10.5
78,2017-06-21 06:56:09,175,11.0
79,2017-06-21 06:55:03,175,8.5
80,2017-06-21 06:03:14,175,12.0
81,2017-06-21 05:42:49,221,8.5
82,2017-06-21 05:39:49,191,9.5
83,2017-06-21 05:22:07,191,8.0
84,2017-06-20 21:16:03,175,7.5
85,2017-06-20 20:53:21,175,13.0
86,2017-06-20 17:41:37,126,9.0
87,2017-06-20 15:54:05,235,11.0
88,2017-06-20 13:43:12,175,10.5
89,2017-06-20 13:05:35,130,11.5
90,2017-06-20 12:59:33,135,9.0
91,2017-06-20 06:42:41,235,10.0
92,2017-06-20 05:34:01,191,10.5
93,2017-06-19 21:28:02,175,10.5
94,2017-06-19 18:55:16,140,12.0
95,2017-06-19 16:50:10,150,10.5
96,2017-06-19 16:35:15,206,13.0
97,2017-06-19 16:35:11,179,13.0
98,2017-06-19 16:14:57,235,10.5
99,2017-06-19 16:07:06,226,9.5
100,2017-06-19 15:53:59,130,12.0
101,2017-06-19 15:35:53,175,11.0
102,2017-06-19 14:37:53,250,9.5
103,2017-06-19 14:35:30,231,9.0
104,2017-06-19 14:26:57,215,8.0
105,2017-06-19 14:20:53,150,11.0
106,2017-06-19 14:18:48,231,8.5
107,2017-06-19 14:10:41,200,12.5
108,2017-06-19 14:04:28,140,9.5
109,2017-06-19 12:38:11,250,8.5
110,2017-06-19 12:23:23,175,9.5
111,2017-06-18 23:53:08,175,11.5
112,2017-06-18 23:27:17,235,8.0
113,2017-06-18 22:14:48,175,12.0
114,2017-06-18 15:46:29,175,8.5
115,2017-06-17 23:06:04,200,10.0
116,2017-06-17 14:22:30,200,9.5
117,2017-06-16 17:48:14,152,13.0
118,2017-06-16 17:14:54,130,7.5
119,2017-06-16 14:27:18,141,12.0
120,2017-06-16 13:44:09,150,10.0
121,2017-06-16 07:44:31,200,10.0
122,2017-06-15 22:35:38,206,12.0
123,2017-06-15 19:20:28,132,10.0
124,2017-06-15 15:11:02,200,12.0
125,2017-06-15 14:27:28,225,8.0
126,2017-06-15 14:08:42,225,10.5
127,2017-06-15 13:18:49,200,12.0
128,2017-06-15 12:57:25,130,10.5
129,2017-06-15 12:55:09,150,10.5
130,2017-06-15 06:06:30,250,13.0
131,2017-06-14 20:51:27,200,11.5
132,2017-06-14 19:39:53,170,11.0
133,2017-06-14 18:23:42,140,12.0
134,2017-06-14 18:01:09,172,13.0
135,2017-06-14 15:39:36,145,8.5
136,2017-06-14 15:38:59,155,12.0
137,2017-06-14 15:23:00,200,9.5
138,2017-06-14 13:45:52,155,12.0
139,2017-06-13 23:06:10,200,9.5
140,2017-06-13 22:02:22,200,10.5
141,2017-06-13 20:45:16,140,10.0
142,2017-06-13 19:15:29,125,11.0
143,2017-06-13 15:36:43,130,14.0
144,2017-06-13 15:35:42,200,10.0
145,2017-06-13 13:59:29,206,13.0
146,2017-06-13 12:22:49,200,9.0
147,2017-06-13 06:44:15,200,12.0
148,2017-06-12 22:26:04,200,13.0
149,2017-06-12 20:35:09,170,13.0
150,2017-06-12 14:07:01,250,12.0
151,2017-06-12 00:06:35,200,10.0
152,2017-06-11 14:15:31,200,9.5
153,2017-06-10 15:57:48,206,9.5
154,2017-06-10 15:19:49,175,12.5
155,2017-06-10 14:25:56,250,13.0
156,2017-06-10 08:17:08,206,13.0
157,2017-06-09 16:06:26,235,8.5
158,2017-06-09 15:43:55,200,11.0
159,2017-06-09 14:14:54,149,12.0
160,2017-06-09 14:06:51,200,13.0
161,2017-06-09 13:02:36,200,12.0
162,2017-06-09 07:04:06,250,13.0
163,2017-06-09 06:15:31,250,10.5
164,2017-06-08 21:51:44,200,9.5
165,2017-06-08 19:50:50,140,9.0
166,2017-06-08 19:33:23,155,11.0
167,2017-06-08 18:11:38,160,9.0
168,2017-06-08 18:11:22,136,10.0
169,2017-06-08 16:04:05,250,13.0
170,2017-06-08 15:13:35,200,8.0
171,2017-06-08 14:53:23,150,9.5
172,2017-06-08 14:34:59,200,10.0
173,2017-06-08 14:33:39,148,9.5
174,2017-06-08 14:04:34,155,13.0
175,2017-06-08 12:35:50,225,8.0
176,2017-06-07 22:58:58,160,10.5
177,2017-06-07 19:01:32,140,10.0
178,2017-06-07 18:55:25,145,11.5
179,2017-06-07 15:23:00,225,11.5
180,2017-06-07 14:55:13,200,11.5
181,2017-06-07 12:14:59,200,15.0
182,2017-06-07 08:18:48,200,12.0
183,2017-06-06 21:52:34,200,10.0
184,2017-06-06 14:34:44,150,12.0
185,2017-06-06 14:06:16,131,9.5
186,2017-06-06 12:50:01,200,12.0
187,2017-06-05 23:40:10,200,11.5
188,2017-06-05 22:12:00,175,11.0
189,2017-06-05 21:32:05,175,10.0
190,2017-06-05 19:38:02,160,8.5
191,2017-06-05 18:21:24,155,8.5
192,2017-06-05 16:03:26,200,10.5
193,2017-06-05 14:34:51,150,10.5
194,2017-06-05 13:51:11,165,8.0
195,2017-06-05 13:10:20,150,9.5
196,2017-06-05 07:04:14,175,13.0
197,2017-06-04 23:26:10,175,10.0
198,2017-06-04 21:27:14,175,15.0
199,2017-06-04 21:25:39,200,9.5
200,2017-06-04 15:06:33,200,9.5
201,2017-06-04 12:29:42,200,11.5
202,2017-06-04 07:27:18,175,11.0
203,2017-06-03 23:57:34,175,12.0
204,2017-06-03 17:01:04,235,10.5
205,2017-06-03 16:44:19,225,9.0
206,2017-06-03 14:35:19,175,12.0
207,2017-06-03 08:49:54,175,11.5
208,2017-06-02 23:29:14,175,7.5
209,2017-06-02 23:14:04,250,7.5
210,2017-06-02 23:07:48,206,10.0
211,2017-06-02 22:42:43,206,10.5
212,2017-06-02 16:38:28,200,13.0
213,2017-06-02 16:22:13,200,14.0
214,2017-06-02 15:23:01,216,13.0
215,2017-06-02 15:11:41,200,13.0
216,2017-06-02 14:21:54,170,8.5
217,2017-06-02 13:41:30,125,11.0
218,2017-06-02 13:29:06,160,11.0
219,2017-06-02 07:33:49,200,10.5
220,2017-06-02 07:33:20,200,9.0
221,2017-06-02 07:29:36,200,9.0
222,2017-06-02 07:07:08,200,11.0
223,2017-06-02 06:35:57,200,10.0
224,2017-06-02 06:27:57,200,10.5
225,2017-06-02 05:58:29,200,10.5
226,2017-06-02 05:30:10,200,10.0
227,2017-06-02 05:02:04,200,9.0
228,2017-06-02 04:57:47,200,11.0
229,2017-06-02 04:56:01,200,10.0
230,2017-06-02 04:49:35,200,11.0
231,2017-06-02 04:45:38,200,10.0
232,2017-06-02 04:25:26,250,9.5
233,2017-06-01 22:54:43,200,9.5
234,2017-06-01 21:27:35,140,10.0
235,2017-06-01 20:10:23,150,10.0
236,2017-06-01 15:16:10,136,9.5
237,2017-06-01 15:00:44,140,9.5
238,2017-06-01 15:00:10,150,15.0
239,2017-06-01 14:46:52,225,10.0
240,2017-06-01 14:07:09,200,9.0
241,2017-06-01 06:31:45,200,12.5
242,2017-06-01 06:22:16,200,9.5
243,2017-05-31 14:51:26,250,14.0
244,2017-05-31 14:21:34,200,9.5
245,2017-05-31 13:46:05,200,8.0
246,2017-05-31 13:32:33,231,13.0
247,2017-05-31 07:09:09,200,9.0
248,2017-05-31 05:33:41,225,10.5
249,2017-05-31 05:02:44,250,12.0
250,2017-05-31 04:31:39,250,7.5
251,2017-05-30 21:13:15,200,7.5
252,2017-05-30 21:02:57,125,11.0
253,2017-05-30 20:01:37,135,11.0
254,2017-05-30 16:50:13,130,10.5
255,2017-05-30 16:05:47,225,9.5
256,2017-05-30 15:54:54,130,11.0
257,2017-05-30 14:54:46,225,12.0
258,2017-05-30 13:46:45,200,12.0
259,2017-05-30 13:02:11,225,9.5
260,2017-05-30 12:35:12,225,9.0
261,2017-05-30 12:32:00,225,9.5
262,2017-05-30 08:39:33,225,11.0
263,2017-05-29 23:30:05,200,7.0
264,2017-05-29 13:08:29,200,7.0
265,2017-05-29 06:17:57,202,12.0
266,2017-05-29 05:37:43,199,10.5
267,2017-05-28 16:13:41,216,10.5
268,2017-05-28 14:19:11,200,16.0
269,2017-05-28 12:38:16,200,12.0
270,2017-05-27 21:24:15,200,12.0
271,2017-05-27 08:05:37,200,9.0
272,2017-05-26 21:16:22,150,8.5
273,2017-05-26 20:45:24,200,12.0
274,2017-05-26 20:43:40,136,10.5
275,2017-05-26 13:30:39,200,10.5
276,2017-05-26 13:17:56,200,9.0
277,2017-05-26 07:18:03,235,10.0
278,2017-05-26 06:03:17,250,10.5
279,2017-05-26 04:40:08,300,10.0
280,2017-05-26 02:44:47,165,10.0
281,2017-05-26 00:48:45,130,12.0
282,2017-05-25 19:08:11,129,11.0
283,2017-05-25 18:50:22,159,11.5
284,2017-05-25 17:08:07,235,14.0
285,2017-05-25 16:40:07,135,11.0
286,2017-05-25 16:25:59,225,9.0
287,2017-05-25 16:04:59,225,9.5
288,2017-05-25 14:34:09,225,10.5
289,2017-05-25 14:26:12,200,10.0
290,2017-05-25 13:32:28,200,15.0
291,2017-05-25 07:00:42,225,10.5
292,2017-05-25 06:56:38,275,9.0
293,2017-05-25 06:54:37,225,11.0
294,2017-05-25 04:49:50,225,10.5
295,2017-05-25 04:45:18,250,13.0
296,2017-05-25 04:13:16,200,9.0
297,2017-05-25 01:35:09,126,11.0
298,2017-05-24 17:43:49,150,10.0
299,2017-05-23 23:28:41,200,7.0
300,2017-05-23 21:52:22,250,11.5
301,2017-05-23 13:00:47,200,9.5
302,2017-05-23 12:27:54,200,11.5
303,2017-05-23 09:02:31,216,12.0
304,2017-05-23 07:43:31,216,10.5
305,2017-05-22 15:51:17,200,10.5
306,2017-05-22 14:24:00,190,12.5
307,2017-05-22 13:55:34,200,9.5
308,2017-05-22 12:51:58,225,10.5
309,2017-05-22 08:00:04,200,8.5
310,2017-05-22 06:06:09,235,8.0
311,2017-05-21 14:02:51,200,8.5
312,2017-05-21 12:52:10,200,12.0
313,2017-05-20 23:56:42,200,10.0
314,2017-05-20 21:43:01,200,14.0
315,2017-05-19 22:30:17,200,11.5
316,2017-05-19 21:14:49,200,8.5
317,2017-05-19 15:32:39,200,10.0
318,2017-05-19 12:52:01,200,12.5
319,2017-05-19 12:46:39,200,12.0
320,2017-05-19 12:39:48,200,9.0
321,2017-05-18 14:21:25,149,10.0
322,2017-05-18 14:06:06,200,12.0
323,2017-05-18 13:48:50,200,10.5
324,2017-05-18 06:30:43,200,8.5
325,2017-05-17 22:38:38,200,12.0
326,2017-05-17 18:01:29,175,13.0
327,2017-05-17 17:11:49,137,10.0
328,2017-05-17 00:31:31,200,13.0
329,2017-05-16 18:16:48,145,11.0
330,2017-05-16 18:04:39,135,9.0
