,createdAt,amount,shoeSize
0,2017-10-23 18:12:37,180,9.5
1,2017-10-21 01:06:50,200,11.0
2,2017-10-20 12:57:37,155,7.0
3,2017-10-09 13:28:15,160,8.5
4,2017-10-04 14:05:51,130,10.0
5,2017-10-02 13:05:13,154,7.5
6,2017-09-28 20:34:42,146,9.0
7,2017-09-27 20:08:18,170,10.5
8,2017-09-26 07:44:39,293,9.5
9,2017-09-22 18:16:00,275,9.5
10,2017-09-18 14:45:30,170,10.5
11,2017-09-11 19:54:36,170,8.5
12,2017-09-11 13:03:40,175,9.5
13,2017-09-06 17:30:17,145,8.0
14,2017-09-06 14:47:14,150,8.0
15,2017-09-01 18:36:41,195,8.5
16,2017-08-30 23:21:43,160,8.0
17,2017-08-24 17:15:36,155,10.5
18,2017-08-24 17:12:51,160,8.0
19,2017-08-18 18:09:45,250,9.5
20,2017-08-14 16:09:01,180,10.5
21,2017-08-03 20:09:41,155,12.0
22,2017-08-03 18:03:22,150,9.0
23,2017-08-02 16:45:49,220,10.5
24,2017-07-25 18:22:50,165,11.0
25,2017-07-25 18:04:14,150,7.0
26,2017-07-10 12:22:17,250,10.0
27,2017-06-19 18:45:24,220,10.5
28,2017-06-13 18:44:39,200,9.5
29,2017-06-12 19:53:56,190,9.5
30,2017-06-02 15:08:17,215,8.5
31,2017-05-26 18:53:15,220,10.5
32,2017-05-08 14:10:13,225,10.5
33,2017-05-05 18:23:20,165,11.0
34,2017-04-28 16:35:41,225,8.0
35,2017-04-25 17:35:06,201,11.0
36,2017-04-25 15:03:12,200,12.0
37,2017-04-25 13:30:39,200,10.0
38,2017-04-24 16:38:11,159,6.5
39,2017-04-24 16:28:03,190,9.0
40,2017-04-19 23:10:37,230,11.0
41,2017-04-15 14:56:09,267,6.0
42,2017-04-12 22:53:54,189,11.5
43,2017-04-12 21:01:47,190,9.0
44,2017-04-07 14:19:39,170,8.0
45,2017-04-05 20:39:38,225,12.0
46,2017-03-30 18:50:38,165,11.0
47,2017-03-28 13:34:18,210,8.5
48,2017-03-17 18:46:38,201,10.0
49,2017-03-14 18:02:48,225,9.0
50,2017-03-14 17:55:56,201,10.5
51,2017-03-13 16:15:12,220,10.0
52,2017-03-13 13:34:38,220,8.0
53,2017-03-09 18:20:33,220,10.0
54,2017-03-09 15:48:59,220,8.5
55,2017-03-06 16:33:43,220,10.0
56,2017-03-03 20:45:15,250,13.0
57,2017-03-03 19:25:01,225,12.0
58,2017-02-28 15:35:03,225,8.0
59,2017-10-21 01:06:50,200,11.0
60,2017-10-20 12:57:37,155,7.0
61,2017-10-18 23:08:34,180,9.5
62,2017-10-09 13:28:15,160,8.5
63,2017-10-04 14:05:51,130,10.0
64,2017-10-02 13:05:13,154,7.5
65,2017-09-28 20:34:42,146,9.0
66,2017-09-27 20:08:18,170,10.5
67,2017-09-26 07:44:39,293,9.5
68,2017-09-22 18:16:00,275,9.5
69,2017-09-18 14:45:30,170,10.5
70,2017-09-11 19:54:36,170,8.5
71,2017-09-11 13:03:40,175,9.5
72,2017-09-06 17:30:17,145,8.0
73,2017-09-06 14:47:14,150,8.0
74,2017-09-01 18:36:41,195,8.5
75,2017-08-30 23:21:43,160,8.0
76,2017-08-24 17:15:36,155,10.5
77,2017-08-24 17:12:51,160,8.0
78,2017-08-18 18:09:45,250,9.5
79,2017-08-14 16:09:01,180,10.5
80,2017-08-03 20:09:41,155,12.0
81,2017-08-03 18:03:22,150,9.0
82,2017-08-02 16:45:49,220,10.5
83,2017-07-25 18:22:50,165,11.0
84,2017-07-25 18:04:14,150,7.0
85,2017-07-10 12:22:17,250,10.0
86,2017-06-19 18:45:24,220,10.5
87,2017-06-13 18:44:39,200,9.5
88,2017-06-12 19:53:56,190,9.5
89,2017-06-02 15:08:17,215,8.5
90,2017-05-26 18:53:15,220,10.5
91,2017-05-08 14:10:13,225,10.5
92,2017-05-05 18:23:20,165,11.0
93,2017-04-28 16:35:41,225,8.0
94,2017-04-25 17:35:06,201,11.0
95,2017-04-25 15:03:12,200,12.0
96,2017-04-25 13:30:39,200,10.0
97,2017-04-24 16:38:11,159,6.5
98,2017-04-24 16:28:03,190,9.0
99,2017-04-19 23:10:37,230,11.0
100,2017-04-15 14:56:09,267,6.0
101,2017-04-12 22:53:54,189,11.5
102,2017-04-12 21:01:47,190,9.0
103,2017-04-07 14:19:39,170,8.0
104,2017-04-05 20:39:38,225,12.0
105,2017-03-30 18:50:38,165,11.0
106,2017-03-28 13:34:18,210,8.5
107,2017-03-17 18:46:38,201,10.0
108,2017-03-14 18:02:48,225,9.0
109,2017-03-14 17:55:56,201,10.5
110,2017-03-13 16:15:12,220,10.0
111,2017-03-13 13:34:38,220,8.0
112,2017-03-09 18:20:33,220,10.0
113,2017-03-09 15:48:59,220,8.5
114,2017-03-06 16:33:43,220,10.0
115,2017-03-03 20:45:15,250,13.0
116,2017-03-03 19:25:01,225,12.0
117,2017-02-28 15:35:03,225,8.0
118,2017-10-19 04:38:07,200,11.0
119,2017-10-17 23:06:59,155,7.0
120,2017-10-17 22:12:49,180,9.5
121,2017-10-16 01:33:22,155,7.0
122,2017-10-04 23:03:27,160,8.5
123,2017-10-01 05:41:02,160,8.5
124,2017-09-29 01:07:13,130,10.0
125,2017-09-27 23:04:30,154,7.5
126,2017-09-21 06:09:29,146,9.0
127,2017-09-25 23:08:38,170,10.5
128,2017-09-25 21:18:13,154,7.5
129,2017-09-22 15:42:56,170,10.5
130,2017-09-19 01:08:11,275,9.5
131,2017-09-16 12:36:46,200,9.5
132,2017-09-08 23:04:28,165,7.0
133,2017-09-20 19:52:06,146,9.0
134,2017-09-17 00:49:46,275,9.5
135,2017-09-13 23:03:12,170,10.5
136,2017-09-08 23:03:29,200,9.5
137,2017-09-10 16:19:13,170,10.5
138,2017-09-07 02:08:21,170,8.5
139,2017-09-07 02:08:19,175,9.5
140,2017-09-05 23:28:54,145,8.0
141,2017-09-05 03:12:55,170,8.5
142,2017-09-05 02:59:18,175,9.5
143,2017-08-31 19:29:03,150,8.0
144,2017-09-01 20:10:40,145,8.0
145,2017-08-30 01:34:13,195,8.5
146,2017-08-29 18:12:49,150,8.0
147,2017-08-29 23:26:18,160,8.0
148,2017-08-29 03:48:21,195,8.5
149,2017-08-28 15:45:17,160,8.0
150,2017-08-21 20:16:11,160,8.0
151,2017-08-21 20:16:11,155,10.5
152,2017-08-20 00:07:08,155,10.5
153,2017-08-20 00:05:21,160,8.0
154,2017-08-15 06:46:52,250,9.5
155,2017-08-14 13:32:03,250,9.5
156,2017-08-09 21:25:46,180,10.5
157,2017-08-06 20:43:32,180,10.5
158,2017-08-01 21:24:42,150,9.0
159,2017-08-01 21:24:38,155,12.0
160,2017-07-31 23:19:23,220,10.5
161,2017-08-01 00:05:34,150,9.0
162,2017-07-31 23:33:56,155,12.0
163,2017-07-28 23:16:39,220,10.5
