,createdAt,amount,shoeSize
0,2017-08-31 03:40:26,190,11.5
1,2017-08-31 03:24:27,195,12.0
2,2017-08-31 03:19:51,212,11.0
3,2017-08-31 02:57:24,200,11.5
4,2017-08-31 02:45:28,199,8.5
5,2017-08-31 02:35:44,181,8.0
6,2017-08-31 02:10:18,195,8.5
7,2017-08-31 02:03:35,190,12.0
8,2017-08-31 02:02:18,200,10.0
9,2017-08-31 01:51:10,205,6.0
10,2017-08-31 01:25:11,208,6.5
11,2017-08-31 01:24:11,200,10.0
12,2017-08-31 01:21:57,171,13.0
13,2017-08-31 01:19:19,220,11.0
14,2017-08-31 01:17:58,210,10.5
15,2017-08-31 00:42:20,190,8.0
16,2017-08-31 00:39:29,210,9.5
17,2017-08-30 23:32:24,205,14.0
18,2017-08-30 23:31:41,207,10.0
19,2017-08-30 23:31:16,199,11.0
20,2017-08-30 23:31:13,180,8.0
21,2017-08-30 23:30:16,204,10.0
22,2017-08-30 23:29:56,220,5.0
23,2017-08-30 23:29:32,195,8.5
24,2017-08-30 23:29:20,182,11.5
25,2017-08-30 23:29:19,185,11.5
26,2017-08-30 23:29:19,180,13.0
27,2017-08-30 23:26:34,220,11.0
28,2017-08-30 23:24:31,180,9.0
29,2017-08-30 23:20:34,200,12.0
30,2017-08-30 23:19:52,200,11.5
31,2017-08-30 23:16:38,225,9.5
32,2017-08-30 23:15:46,200,11.0
33,2017-08-30 23:13:14,180,13.0
34,2017-08-30 23:12:43,210,5.0
35,2017-08-30 23:08:37,203,10.0
36,2017-08-30 23:08:35,206,10.5
37,2017-08-30 23:08:23,259,10.5
38,2017-08-30 22:59:15,192,10.0
39,2017-08-30 22:57:03,195,10.5
40,2017-08-30 22:56:31,200,11.0
41,2017-08-30 22:51:07,215,10.0
42,2017-08-30 22:49:29,200,11.5
43,2017-08-30 22:47:47,215,9.5
44,2017-08-30 22:40:10,194,11.0
45,2017-08-30 22:38:39,205,11.0
46,2017-08-30 22:34:16,208,8.5
47,2017-08-30 22:31:31,209,8.5
48,2017-08-30 22:27:35,195,11.5
49,2017-08-30 22:25:57,201,9.5
50,2017-08-30 22:20:43,180,9.5
51,2017-08-30 22:19:18,173,13.0
52,2017-08-30 22:18:28,202,10.5
53,2017-08-30 22:16:51,190,12.0
54,2017-08-30 22:16:02,192,11.0
55,2017-08-30 22:15:23,198,9.0
56,2017-08-30 22:11:24,205,10.0
57,2017-08-30 22:06:32,170,13.0
58,2017-08-30 22:06:11,187,8.0
59,2017-08-30 21:55:44,175,8.5
60,2017-08-30 21:55:39,170,6.5
61,2017-08-30 21:55:24,190,8.5
62,2017-08-30 21:55:10,190,8.5
63,2017-08-30 21:52:51,200,9.0
64,2017-08-30 21:51:03,180,10.0
65,2017-08-30 21:49:15,198,11.5
66,2017-08-30 21:40:24,191,10.5
67,2017-08-30 21:40:11,198,11.5
68,2017-08-30 21:39:34,200,13.0
69,2017-08-30 21:38:13,190,10.5
70,2017-08-30 21:35:46,195,11.0
71,2017-08-30 21:35:10,206,12.0
72,2017-08-30 21:33:51,215,11.0
73,2017-08-30 21:33:26,199,10.0
74,2017-08-30 21:32:01,190,8.5
75,2017-08-30 21:28:25,200,5.0
76,2017-08-30 21:27:41,199,8.0
77,2017-08-30 21:27:40,199,8.0
78,2017-08-30 21:26:21,195,10.0
79,2017-08-30 21:25:18,190,8.5
80,2017-08-30 21:24:45,183,8.0
81,2017-08-30 21:24:43,195,10.5
82,2017-08-30 21:23:26,194,12.0
83,2017-08-30 21:22:56,208,10.0
84,2017-08-30 21:22:20,230,9.5
85,2017-08-30 21:21:23,185,8.0
86,2017-08-30 21:21:12,195,11.0
87,2017-08-30 21:20:57,215,9.0
88,2017-08-30 21:20:42,190,8.5
89,2017-08-30 21:18:14,215,9.5
90,2017-08-30 21:14:34,191,9.0
91,2017-08-30 21:14:09,195,12.0
92,2017-08-30 21:04:51,197,12.0
93,2017-08-30 20:51:07,200,11.5
94,2017-08-30 20:50:23,220,11.5
95,2017-08-30 20:48:54,207,9.5
96,2017-08-30 20:33:46,190,9.0
97,2017-08-30 20:33:00,170,13.0
98,2017-08-30 20:31:59,200,11.5
99,2017-08-30 20:27:59,190,11.5
100,2017-08-30 20:07:49,185,11.5
101,2017-08-30 20:01:19,240,9.0
102,2017-08-30 19:58:27,200,10.0
103,2017-08-30 19:51:45,210,12.0
104,2017-08-30 19:46:36,200,8.5
105,2017-08-30 19:35:17,205,10.0
106,2017-08-30 19:33:46,196,8.5
107,2017-08-30 19:33:19,191,8.0
108,2017-08-30 19:33:18,205,9.0
109,2017-08-30 19:29:11,195,10.5
110,2017-08-30 19:27:05,190,10.5
111,2017-08-30 19:26:59,192,9.5
112,2017-08-30 19:26:52,220,9.5
113,2017-08-30 19:26:14,205,10.5
114,2017-08-30 19:21:21,210,10.0
115,2017-08-30 19:21:00,197,10.0
116,2017-08-30 19:19:10,180,8.5
117,2017-08-30 19:16:54,204,9.0
118,2017-08-30 19:13:59,175,13.0
119,2017-08-30 19:01:19,180,8.0
120,2017-08-30 19:01:04,187,8.0
121,2017-08-30 18:59:41,175,8.0
122,2017-08-30 18:54:34,168,6.5
123,2017-08-30 18:52:07,200,9.0
124,2017-08-30 18:52:04,215,9.0
125,2017-08-30 18:49:11,188,11.5
126,2017-08-30 18:46:48,195,12.0
127,2017-08-30 18:44:00,180,8.0
128,2017-08-30 18:43:55,200,9.0
129,2017-08-30 18:34:34,188,10.5
130,2017-08-30 18:30:41,171,10.0
131,2017-08-30 18:30:35,196,9.0
132,2017-08-30 18:30:13,195,10.5
133,2017-08-30 18:27:47,211,9.5
134,2017-08-30 18:26:18,225,9.5
135,2017-08-30 18:24:37,200,12.0
136,2017-08-30 18:24:35,210,9.0
137,2017-08-30 18:24:30,170,9.5
138,2017-08-30 18:21:40,180,11.0
139,2017-08-30 18:21:19,205,11.0
140,2017-08-30 18:19:33,210,6.0
141,2017-08-30 18:19:10,165,8.5
142,2017-08-30 18:19:08,195,11.5
143,2017-08-30 18:14:28,208,10.5
144,2017-08-30 18:12:44,200,10.5
145,2017-08-30 18:10:14,205,11.0
146,2017-08-30 18:09:25,176,13.0
147,2017-08-30 18:05:19,205,10.0
148,2017-08-30 18:05:14,206,9.0
149,2017-08-30 18:05:09,200,9.0
150,2017-08-30 18:03:11,225,11.0
151,2017-08-30 17:59:25,180,8.5
152,2017-08-30 17:57:57,205,11.0
153,2017-08-30 17:57:16,190,9.0
154,2017-08-30 17:55:49,192,11.0
155,2017-08-30 17:55:38,172,10.0
156,2017-08-30 17:51:11,170,10.0
157,2017-08-30 17:49:27,180,10.5
158,2017-08-30 17:48:36,172,10.0
159,2017-08-30 17:47:44,200,8.5
160,2017-08-30 17:47:28,190,8.5
161,2017-08-30 17:47:23,195,10.0
162,2017-08-30 17:43:39,220,7.5
163,2017-08-30 17:42:56,200,12.0
164,2017-08-30 17:42:51,185,13.0
165,2017-08-30 17:42:16,199,10.5
166,2017-08-30 17:40:34,211,11.0
167,2017-08-30 17:38:15,235,7.5
168,2017-08-30 17:38:06,207,10.5
169,2017-08-30 17:35:58,193,10.5
170,2017-08-30 17:33:22,200,10.0
171,2017-08-30 17:32:01,217,9.5
172,2017-08-30 17:31:46,274,5.5
173,2017-08-30 17:17:55,200,11.0
174,2017-08-30 17:17:39,199,8.0
175,2017-08-30 17:17:32,219,9.5
176,2017-08-30 17:07:59,190,8.5
177,2017-08-30 16:57:58,210,11.0
178,2017-08-30 16:57:46,199,11.5
179,2017-08-30 16:56:05,200,6.5
180,2017-08-30 16:26:56,214,11.5
181,2017-08-30 16:24:12,217,10.0
182,2017-08-30 16:17:49,171,12.0
183,2017-08-30 16:17:45,170,11.0
184,2017-08-30 16:09:27,215,10.0
185,2017-08-30 16:08:16,191,12.0
186,2017-08-30 16:06:59,208,7.5
187,2017-08-30 15:51:37,186,11.5
188,2017-08-30 15:49:20,198,10.5
189,2017-08-30 15:48:38,170,10.0
190,2017-08-30 15:48:23,189,11.5
191,2017-08-30 15:47:58,215,9.0
192,2017-08-30 15:47:23,200,9.0
193,2017-08-30 15:44:28,192,12.0
194,2017-08-30 15:43:50,195,11.5
195,2017-08-30 15:39:48,210,10.0
196,2017-08-30 15:34:51,199,10.5
197,2017-08-30 15:31:46,199,10.0
198,2017-08-30 15:30:16,215,10.5
199,2017-08-30 15:29:00,205,10.5
200,2017-08-30 15:20:11,199,11.5
201,2017-08-30 15:18:45,209,11.0
202,2017-08-30 15:11:43,206,11.0
203,2017-08-30 15:10:57,199,11.0
204,2017-08-30 15:06:50,198,11.5
205,2017-08-30 15:05:54,195,8.5
206,2017-08-30 15:05:11,200,11.0
207,2017-08-30 15:01:54,205,9.5
208,2017-08-30 15:01:08,195,12.0
209,2017-08-30 15:00:11,216,9.5
210,2017-08-30 14:56:43,199,10.0
211,2017-08-30 14:49:06,200,8.0
212,2017-08-30 14:47:27,197,12.0
213,2017-08-30 14:32:55,190,12.0
214,2017-08-30 14:26:10,190,10.0
215,2017-08-30 14:22:34,197,10.0
216,2017-08-30 14:15:47,240,5.5
217,2017-08-30 14:15:31,188,13.0
218,2017-08-30 13:58:42,210,12.0
219,2017-08-30 13:58:37,195,11.0
220,2017-08-30 13:52:11,224,9.0
221,2017-08-30 13:50:33,203,10.5
222,2017-08-30 13:44:57,200,10.0
223,2017-08-30 13:44:51,215,10.5
224,2017-08-30 13:42:21,190,10.0
225,2017-08-30 13:39:57,220,7.0
226,2017-08-30 13:38:39,191,8.0
227,2017-08-30 13:31:57,194,10.5
228,2017-08-30 13:30:13,200,10.0
229,2017-08-30 13:11:03,216,10.0
230,2017-08-30 13:02:02,200,10.5
231,2017-08-30 12:54:45,198,8.5
232,2017-08-30 12:54:35,195,8.0
233,2017-08-30 12:41:22,200,9.0
234,2017-08-30 12:39:34,205,9.0
235,2017-08-30 08:35:13,200,8.5
236,2017-08-30 03:28:41,199,12.0
237,2017-08-30 03:16:17,200,9.0
238,2017-08-30 03:14:12,197,10.0
239,2017-08-30 02:59:17,219,9.5
240,2017-08-30 02:48:06,194,8.0
241,2017-08-30 01:36:26,195,10.5
242,2017-08-30 01:33:25,210,11.0
243,2017-08-30 01:32:13,193,10.5
244,2017-08-30 01:29:28,200,8.5
245,2017-08-30 01:22:32,225,9.0
246,2017-08-29 23:31:34,170,13.0
247,2017-08-29 23:30:28,171,13.0
248,2017-08-29 23:28:23,195,11.5
249,2017-08-29 23:28:15,171,13.0
250,2017-08-29 23:28:14,190,11.5
251,2017-08-29 23:28:14,200,11.0
252,2017-08-29 23:28:14,193,12.0
253,2017-08-29 23:28:14,195,11.0
254,2017-08-29 23:28:13,195,10.0
255,2017-08-29 23:28:12,190,8.5
256,2017-08-29 23:28:12,206,9.0
257,2017-08-29 23:28:11,200,12.0
258,2017-08-29 23:27:42,204,11.5
259,2017-08-29 23:26:46,225,9.0
260,2017-08-29 23:26:40,183,8.0
261,2017-08-29 23:26:27,225,9.5
262,2017-08-29 23:26:24,208,10.5
263,2017-08-29 23:26:09,209,10.5
264,2017-08-29 23:24:54,200,11.5
265,2017-08-29 23:24:29,214,11.0
266,2017-08-29 23:24:16,199,12.0
267,2017-08-29 23:23:12,201,9.5
268,2017-08-29 23:18:25,195,8.5
269,2017-08-29 23:16:33,210,10.5
270,2017-08-29 23:05:22,196,10.0
271,2017-08-29 22:48:55,211,9.5
272,2017-08-29 22:22:27,200,8.0
273,2017-08-29 21:49:13,188,8.0
274,2017-08-29 21:24:51,189,11.5
275,2017-08-29 21:23:50,215,9.0
276,2017-08-29 21:22:36,200,10.0
277,2017-08-29 21:21:36,205,11.0
278,2017-08-29 21:21:35,202,8.5
279,2017-08-29 21:20:19,215,11.0
280,2017-08-29 21:19:00,193,12.0
281,2017-08-29 21:14:58,202,10.5
282,2017-08-29 21:11:26,195,9.0
283,2017-08-29 21:11:19,210,9.5
284,2017-08-29 20:51:46,206,12.0
285,2017-08-29 20:48:38,200,10.0
286,2017-08-29 20:48:38,211,10.5
287,2017-08-29 20:39:35,200,10.0
288,2017-08-29 20:39:30,196,11.0
289,2017-08-29 20:38:06,201,10.5
290,2017-08-29 20:38:00,200,9.0
291,2017-08-29 20:36:57,196,8.0
292,2017-08-29 20:21:56,200,13.0
293,2017-08-29 20:18:57,219,10.5
294,2017-08-29 20:15:12,208,10.5
295,2017-08-29 20:13:43,215,10.0
296,2017-08-29 20:10:00,216,10.0
297,2017-08-29 20:04:10,220,9.5
298,2017-08-29 20:03:42,197,11.5
299,2017-08-29 20:03:31,245,12.0
300,2017-08-29 20:02:42,212,7.5
301,2017-08-29 20:00:16,200,11.5
302,2017-08-29 19:58:18,192,8.5
303,2017-08-29 19:55:37,205,9.5
304,2017-08-29 19:55:16,180,9.0
305,2017-08-29 19:53:25,215,10.0
306,2017-08-29 19:48:34,210,11.0
307,2017-08-29 19:48:14,210,11.0
308,2017-08-29 19:47:04,220,7.5
309,2017-08-29 19:41:09,169,8.0
310,2017-08-29 19:37:17,170,8.5
311,2017-08-29 19:37:14,184,13.0
312,2017-08-29 19:36:31,164,9.5
313,2017-08-29 19:35:51,206,9.0
314,2017-08-29 19:33:41,238,10.5
315,2017-08-29 19:31:50,195,8.0
316,2017-08-29 19:31:31,195,8.5
317,2017-08-29 19:30:56,195,8.0
318,2017-08-29 19:28:45,200,10.0
319,2017-08-29 19:28:42,200,11.0
320,2017-08-29 19:27:29,225,5.5
321,2017-08-29 19:23:07,210,11.0
322,2017-08-29 19:17:46,220,10.5
323,2017-08-29 19:14:54,205,10.0
324,2017-08-29 19:04:50,206,12.0
325,2017-08-29 19:03:53,170,9.5
326,2017-08-29 19:03:16,203,8.0
327,2017-08-29 19:02:31,200,8.5
328,2017-08-29 18:50:06,199,11.0
329,2017-08-29 18:40:44,200,9.5
330,2017-08-29 18:32:19,206,11.0
331,2017-08-29 18:21:17,184,13.0
332,2017-08-29 18:18:33,205,11.0
333,2017-08-29 18:12:43,193,12.0
334,2017-08-29 18:10:13,212,9.0
335,2017-08-29 18:04:37,208,12.0
336,2017-08-29 17:56:53,201,10.5
337,2017-08-29 17:47:19,190,12.0
338,2017-08-29 17:46:15,190,8.5
339,2017-08-29 17:45:42,200,10.0
340,2017-08-29 17:45:17,208,10.5
341,2017-08-29 17:41:12,195,11.5
342,2017-08-29 17:40:57,245,9.5
343,2017-08-29 17:40:47,207,12.0
344,2017-08-29 17:39:27,201,8.0
345,2017-08-29 17:39:17,215,9.5
346,2017-08-29 17:37:47,205,11.0
347,2017-08-29 17:34:08,207,10.5
348,2017-08-29 17:32:21,206,8.5
349,2017-08-29 17:31:48,220,11.5
350,2017-08-29 17:23:26,240,12.5
351,2017-08-29 17:22:28,206,9.0
352,2017-08-29 17:20:46,220,6.5
353,2017-08-29 17:20:31,220,9.0
354,2017-08-29 17:19:10,190,6.0
355,2017-08-29 16:59:23,165,9.0
356,2017-08-29 16:58:34,169,8.0
357,2017-08-29 15:50:18,192,8.0
358,2017-08-29 15:43:30,203,10.0
359,2017-08-29 15:39:26,200,10.0
360,2017-08-29 15:32:04,229,10.5
361,2017-08-29 15:29:51,207,9.5
362,2017-08-29 15:16:26,190,8.0
363,2017-08-29 15:16:01,170,8.5
364,2017-08-29 15:14:33,167,9.5
365,2017-08-29 14:57:28,197,8.5
366,2017-08-29 14:54:18,180,11.0
367,2017-08-29 14:52:17,200,9.5
368,2017-08-29 14:51:29,200,13.0
369,2017-08-29 14:48:28,180,10.0
370,2017-08-29 14:46:57,165,8.5
371,2017-08-29 14:40:51,196,9.0
372,2017-08-29 14:39:08,168,8.0
373,2017-08-29 14:37:25,180,10.5
374,2017-08-29 14:35:38,198,10.0
375,2017-08-29 14:35:28,220,8.5
376,2017-08-29 14:35:11,170,8.5
377,2017-08-29 14:32:44,165,10.5
378,2017-08-29 14:32:33,200,11.0
379,2017-08-29 14:30:40,165,9.0
380,2017-08-29 14:30:29,200,10.0
381,2017-08-29 14:30:11,170,10.5
382,2017-08-29 14:29:05,165,13.0
383,2017-08-29 14:28:49,165,8.5
384,2017-08-29 14:28:44,171,9.5
385,2017-08-29 14:26:47,170,10.5
386,2017-08-29 14:26:37,180,8.5
387,2017-08-29 14:24:54,180,9.0
388,2017-08-29 14:24:49,172,11.0
389,2017-08-29 14:24:16,193,12.0
390,2017-08-29 14:22:49,200,10.5
391,2017-08-29 14:22:34,200,11.0
392,2017-08-29 14:22:24,180,11.5
393,2017-08-29 14:22:19,180,9.0
394,2017-08-29 14:22:09,180,10.0
395,2017-08-29 14:22:05,164,10.0
396,2017-08-29 14:21:55,175,12.0
397,2017-08-29 14:21:50,220,9.5
398,2017-08-29 14:19:47,166,9.5
399,2017-08-29 14:18:10,225,13.0
400,2017-08-29 14:17:55,230,9.0
401,2017-08-29 14:17:09,180,10.5
402,2017-08-29 14:16:08,172,9.5
403,2017-08-29 14:15:38,169,11.0
404,2017-08-29 14:15:32,165,10.0
405,2017-08-29 14:15:22,163,10.5
406,2017-08-29 14:15:17,180,8.5
407,2017-08-29 14:15:11,192,8.0
408,2017-08-29 14:13:50,175,9.0
409,2017-08-29 14:11:45,205,8.0
410,2017-08-29 14:11:09,180,8.5
411,2017-08-29 14:10:16,180,12.0
412,2017-08-29 14:08:57,180,9.5
413,2017-08-29 14:07:43,180,9.0
414,2017-08-29 14:07:11,195,9.0
415,2017-08-29 14:07:01,180,10.0
416,2017-08-29 14:06:51,185,11.5
417,2017-08-29 14:06:13,165,12.0
418,2017-08-29 14:06:09,203,7.5
419,2017-08-29 14:05:54,165,10.0
420,2017-08-29 14:05:39,180,8.0
421,2017-08-29 14:05:16,190,10.5
422,2017-08-29 14:05:12,210,9.0
423,2017-08-29 14:03:57,170,13.0
424,2017-08-29 13:58:48,220,9.5
425,2017-08-29 13:56:02,217,10.0
426,2017-08-29 13:55:11,210,9.0
427,2017-08-29 13:54:24,215,10.0
428,2017-08-29 13:52:07,210,9.0
429,2017-08-29 13:52:02,170,8.0
430,2017-08-29 13:45:22,200,11.5
431,2017-08-29 13:43:26,180,9.5
432,2017-08-29 13:42:53,175,10.0
433,2017-08-29 13:41:16,220,9.5
434,2017-08-29 13:40:14,200,9.0
435,2017-08-29 13:40:09,200,11.0
436,2017-08-29 13:39:08,215,9.5
437,2017-08-29 13:34:36,205,11.5
438,2017-08-29 13:34:31,205,10.5
439,2017-08-29 13:32:54,165,11.0
440,2017-08-29 13:32:33,220,9.5
441,2017-08-29 13:31:31,200,5.0
442,2017-08-29 13:31:01,200,13.0
443,2017-08-29 13:30:56,212,9.5
444,2017-08-29 13:30:26,200,10.0
445,2017-08-29 13:30:16,168,8.0
446,2017-08-29 13:27:38,165,10.0
447,2017-08-29 13:27:06,165,11.0
448,2017-08-29 13:25:47,169,11.0
449,2017-08-29 13:25:20,167,8.5
450,2017-08-29 13:25:10,165,9.0
451,2017-08-29 13:24:12,171,11.0
452,2017-08-29 13:23:37,175,10.0
453,2017-08-29 13:23:27,180,8.5
454,2017-08-29 13:22:37,210,10.0
455,2017-08-29 13:22:31,180,12.0
456,2017-08-29 13:21:49,201,9.0
457,2017-08-29 13:21:39,167,9.5
458,2017-08-29 13:21:34,166,11.5
459,2017-08-29 13:19:29,205,11.0
460,2017-08-29 13:19:09,180,10.5
461,2017-08-29 13:19:03,210,8.5
462,2017-08-29 13:18:54,165,8.5
463,2017-08-29 13:18:28,164,10.5
464,2017-08-29 13:18:08,180,10.0
465,2017-08-29 13:17:48,165,8.5
466,2017-08-29 13:17:38,180,10.0
467,2017-08-29 13:16:33,180,8.5
468,2017-08-29 13:16:02,167,11.5
469,2017-08-29 13:15:22,170,9.5
470,2017-08-29 13:13:59,170,9.0
471,2017-08-29 13:13:24,210,8.0
472,2017-08-29 13:12:56,180,10.5
473,2017-08-29 13:12:51,180,10.0
474,2017-08-29 13:11:22,166,10.5
475,2017-08-29 13:10:29,170,9.5
476,2017-08-29 13:09:17,202,10.5
477,2017-08-29 13:09:10,165,9.0
478,2017-08-29 13:08:22,167,10.5
479,2017-08-29 13:08:07,165,10.0
480,2017-08-29 13:06:21,170,13.0
481,2017-08-29 13:05:55,206,9.5
482,2017-08-29 13:04:40,180,10.0
483,2017-08-29 13:04:10,220,9.5
484,2017-08-29 12:57:55,229,11.5
485,2017-08-29 12:53:03,201,8.5
486,2017-08-29 12:50:40,216,10.0
487,2017-08-29 12:50:15,190,11.5
488,2017-08-29 12:45:19,196,10.5
489,2017-08-29 03:14:38,210,10.0
490,2017-08-29 03:14:19,215,9.5
491,2017-08-29 03:14:15,210,9.5
492,2017-08-29 01:24:15,199,10.5
493,2017-08-29 01:19:39,230,5.0
494,2017-08-29 01:19:15,225,5.0
495,2017-08-29 01:14:25,225,9.0
496,2017-08-29 01:13:46,220,9.0
