,createdAt,amount,shoeSize
0,2018-01-29 21:09:58,1350,M
1,2018-01-29 02:38:51,1300,L
2,2018-01-27 01:40:29,1000,XL
3,2018-01-24 18:20:51,1000,XL
4,2018-01-23 18:48:46,1300,M
5,2018-01-13 02:53:40,1261,M
6,2018-01-12 16:09:27,1500,XL
7,2018-01-11 21:01:58,1325,M
8,2018-01-10 20:09:08,1275,M
9,2018-01-10 18:10:52,1245,L
10,2018-01-08 21:24:41,1400,L
11,2018-01-02 19:21:06,1340,L
12,2017-12-19 21:09:56,1250,L
13,2017-12-19 20:30:40,1399,M
14,2017-12-18 21:31:03,1730,XL
15,2017-12-15 22:35:34,1300,L
16,2017-12-14 16:27:48,1600,S
17,2017-12-14 15:25:16,1750,XL
18,2017-12-08 15:29:01,1250,L
19,2017-12-08 02:29:05,1250,L
20,2017-12-07 23:11:23,1148,L
21,2017-12-07 22:52:23,1250,L
22,2017-12-06 19:07:15,1250,M
23,2017-12-01 16:33:59,1300,L
24,2017-11-29 19:26:40,1350,M
25,2017-11-29 18:17:49,1300,M
26,2017-11-27 19:42:04,1210,M
27,2017-11-19 18:05:13,1250,L
28,2017-11-17 12:00:08,1280,M
29,2017-11-16 21:32:41,1220,M
30,2017-11-10 14:54:30,1160,XL
31,2017-11-08 22:02:35,1270,M
32,2017-11-02 20:17:36,1249,M
33,2017-11-02 12:51:32,1299,L
34,2017-10-31 13:02:08,1137,L
35,2017-10-30 16:24:38,1200,L
36,2017-10-30 10:06:40,1105,L
37,2017-10-28 23:54:27,1041,L
38,2017-10-25 14:51:37,1139,L
39,2017-10-24 18:22:42,1200,L
40,2017-10-23 21:40:10,1090,L
41,2017-10-23 17:37:03,1100,XL
42,2017-10-22 14:20:11,1101,M
43,2017-10-21 16:55:12,1060,M
44,2018-01-29 21:09:58,1350,M
45,2018-01-29 02:38:51,1300,L
46,2018-01-27 01:40:29,1000,XL
47,2018-01-24 18:20:51,1000,XL
48,2018-01-23 18:48:46,1300,M
49,2018-01-13 02:53:40,1261,M
50,2018-01-12 16:09:27,1500,XL
51,2018-01-11 21:01:58,1325,M
52,2018-01-10 20:09:08,1275,M
53,2018-01-10 18:10:52,1245,L
54,2018-01-08 21:24:41,1400,L
55,2018-01-02 19:21:06,1340,L
56,2017-12-19 21:09:56,1250,L
57,2017-12-19 20:30:40,1399,M
58,2017-12-18 21:31:03,1730,XL
59,2017-12-15 22:35:34,1300,L
