,createdAt,amount,shoeSize
0,2017-12-07 17:21:28,1300,XL
1,2017-12-06 15:39:13,1100,XL
2,2017-12-05 23:04:25,1295,M
3,2017-12-05 16:20:26,1169,XL
4,2017-11-30 14:56:37,900,L
5,2017-11-21 14:41:33,910,M
6,2017-11-10 16:30:53,1198,L
7,2017-11-03 12:51:20,900,M
8,2017-10-31 20:56:25,1120,L
9,2017-10-30 20:01:24,1000,S
10,2017-10-25 13:30:21,925,M
11,2017-10-24 21:50:16,800,S
12,2017-12-04 23:26:58,1169,XL
13,2017-11-30 14:56:37,900,L
14,2017-11-30 03:22:14,1100,XL
15,2017-11-27 19:28:22,1295,M
16,2017-11-21 14:41:33,910,M
17,2017-11-10 16:30:53,1198,L
18,2017-11-03 12:51:20,900,M
19,2017-10-31 20:56:25,1120,L
20,2017-10-30 20:01:24,1000,S
21,2017-10-25 13:30:21,925,M
22,2017-10-24 21:50:16,800,S
23,2017-11-30 23:09:49,1169,XL
24,2017-11-28 04:28:01,900,L
25,2017-11-26 14:39:05,1100,XL
26,2017-11-24 17:51:00,900,L
27,2017-11-24 15:40:32,1295,M
28,2017-11-21 00:25:24,910,M
29,2017-11-16 21:10:29,910,M
30,2017-11-14 23:45:20,945,M
31,2017-11-14 15:42:18,910,M
32,2017-11-10 06:09:10,940,M
33,2017-11-09 05:56:09,940,M
34,2017-11-07 23:21:16,1198,L
35,2017-11-02 17:04:37,900,M
36,2017-10-31 23:07:09,900,M
37,2017-10-28 07:34:26,900,M
38,2017-10-27 21:11:22,1120,L
39,2017-10-21 20:32:21,1000,S
40,2017-10-24 18:33:57,925,M
41,2017-10-18 23:48:50,950,S
42,2017-10-23 17:02:10,800,S
43,2017-10-21 01:06:39,925,M
44,2017-10-20 01:04:27,800,S
45,2017-10-20 17:09:52,1000,S
46,2017-10-19 19:09:22,1000,S
47,2017-10-19 03:01:24,925,M
