,createdAt,amount,shoeSize
0,2018-02-11 04:52:29,1425,L
1,2017-12-29 22:52:45,800,L
2,2017-12-29 21:38:55,1130,L
3,2017-12-15 14:17:49,900,L
4,2017-12-12 22:01:05,1299,XL
5,2017-11-15 20:15:23,988,L
6,2018-02-11 04:52:29,1425,L
7,2017-12-29 22:52:45,800,L
8,2017-12-29 21:38:55,1130,L
9,2017-12-15 14:17:49,900,L
10,2017-12-12 22:01:05,1299,XL
11,2017-11-15 20:15:23,988,L
12,2018-01-29 16:24:35,1550,XL
13,2018-01-24 09:17:12,1400,XL
14,2018-01-09 05:12:09,720,M
15,2017-12-29 01:56:07,1060,M
16,2017-12-27 21:20:32,1130,L
17,2017-10-25 15:02:56,800,L
18,2017-12-23 22:03:38,1130,L
19,2017-12-23 01:01:13,1060,M
20,2017-12-17 02:51:11,1200,M
21,2017-12-11 17:25:55,950,M
22,2017-12-09 21:00:58,900,L
23,2017-12-05 17:05:06,1299,XL
24,2017-12-08 01:07:02,950,M
25,2017-12-04 21:38:02,1299,XL
26,2017-11-11 01:08:57,988,L
27,2017-11-10 17:06:17,950,L
28,2017-11-09 19:03:51,988,L
29,2017-11-09 06:08:47,950,L
30,2017-11-07 01:56:07,950,L
31,2017-10-24 18:31:07,800,L
32,2017-10-19 01:22:09,790,M
33,2017-10-19 17:09:15,800,L
