,createdAt,amount,shoeSize
0,2017-11-10 21:06:35,1745,L
1,2017-11-10 17:14:54,1746,L
2,2017-11-10 14:55:14,1746,L
3,2017-11-09 20:09:35,2300,L
4,2017-10-23 17:33:17,1461,L
5,2017-11-09 03:47:25,2300,L
6,2017-11-09 03:37:59,1745,L
7,2017-11-09 01:11:54,1746,L
8,2017-11-08 01:12:14,1746,L
9,2017-10-23 17:33:17,1461,L
10,2017-11-07 05:12:10,1746,L
11,2017-11-02 15:08:09,1711,L
12,2017-10-31 19:14:55,1711,L
13,2017-10-27 17:02:33,1552,M
14,2017-10-25 21:04:26,1552,M
15,2017-10-21 19:36:53,1552,M
16,2017-10-19 01:09:15,1461,L
