,createdAt,amount,shoeSize
0,2018-01-10 16:01:57,1200,M
1,2017-12-18 16:08:47,1250,L
2,2017-12-05 22:40:59,1090,XL
3,2017-12-02 22:53:42,1288,M
4,2017-11-21 13:10:12,1080,L
5,2017-10-31 16:31:03,1500,L
6,2017-10-31 15:25:44,1500,M
7,2017-10-22 13:59:14,800,M
8,2018-01-09 06:25:23,1200,M
9,2018-01-09 03:35:34,1090,L
10,2017-12-18 16:08:47,1250,L
11,2017-12-05 22:40:59,1090,XL
12,2017-12-02 22:53:42,1288,M
13,2017-11-21 13:10:12,1080,L
14,2017-10-31 16:31:03,1500,L
15,2017-10-31 15:25:44,1500,M
16,2017-10-22 13:59:14,800,M
17,2018-01-05 21:04:12,1090,L
18,2018-01-05 03:34:04,1200,M
19,2017-12-23 19:06:51,1000,L
20,2017-12-14 23:24:35,1250,L
21,2017-12-12 01:10:58,1250,L
22,2017-12-10 12:34:25,1250,L
23,2017-12-01 23:02:25,1090,XL
24,2017-11-29 01:17:33,1288,M
25,2017-11-24 15:22:44,1250,M
26,2017-11-26 06:48:20,1288,M
27,2017-11-21 00:25:10,1080,L
28,2017-11-17 21:10:39,1080,L
29,2017-11-17 17:11:29,1000,M
30,2017-11-17 17:04:18,1050,L
31,2017-11-16 21:49:32,1080,L
32,2017-11-16 01:14:12,1000,M
33,2017-11-15 21:04:40,1050,L
34,2017-11-11 14:55:32,1050,L
35,2017-10-30 15:00:44,1500,M
36,2017-10-27 20:56:33,1500,L
37,2017-10-19 06:12:03,1500,M
38,2017-10-25 17:11:17,1500,L
39,2017-10-23 21:14:14,1500,L
40,2017-10-22 01:06:19,1500,L
41,2017-10-20 17:05:18,800,M
42,2017-10-18 21:49:54,800,M
